idno	collection	subgenre	serie-noire	policier
Stewardson_Jours	collection-or	sentimental	no	no
Stirling_Adieu	collection-or	sentimental	no	no
Vasilos_Mystere	collection-or	sentimental	no	no
Alexander_Face	collection-or	sentimental	no	no
Bennett_Mots	collection-or	sentimental	no	no
Carr_Pambazuko	collection-or	sentimental	no	no
Duncan_Maison	collection-or	sentimental	no	no
Gladstone_Flora	collection-or	sentimental	no	no
Hutchinson_Hier	collection-or	sentimental	no	no
SmithR_Coeur	collection-or	sentimental	no	no
Ballard_IGH	science-fiction	scifi	no	no
Ballard_Vent	science-fiction	scifi	no	no
Jeury_Demons	science-fiction	scifi	no	no
Jeury_Monde	science-fiction	scifi	no	no
Jeury_Temps	science-fiction	scifi	no	no
LeGuin_Monde	science-fiction	scifi	no	no
Pelot_Sourire	science-fiction	scifi	no	no
Wul_Piege	science-fiction	scifi	no	no
Wul_Temple	science-fiction	scifi	no	no
Amila_Noces	serie-noire	policier	yes	yes
Arrighi_Deux	serie-noire	policier	yes	yes
Bialot_Salon	serie-noire	policier	yes	yes
Chandler_Grand	serie-noire	policier	yes	yes
Demaris_Cador	serie-noire	policier	yes	yes
Ryck_Priere	serie-noire	policier	yes	yes
Stark_Parker	serie-noire	policier	yes	yes
Thomas_Minute	serie-noire	policier	yes	yes
Vautrin_Bulletins	serie-noire	policier	yes	yes
Whittington_Panne	serie-noire	policier	yes	yes
Brett_Came	serie-noire	policier	yes	yes
WilliamsC_Femme	serie-noire	policier	yes	yes
Gaylord_Chute	serie-noire	policier	yes	yes
Whittington_Pre	serie-noire	policier	yes	yes
Runyon_Jolie	serie-noire	policier	yes	yes
RossS_Amere	serie-noire	policier	yes	yes
Demaris_Cyclone	serie-noire	policier	yes	yes
Marlowe_Heure	serie-noire	policier	yes	yes
Siodmak_Cerveau	serie-noire	policier	yes	yes
Viard_Bande	serie-noire	policier	yes	yes
Gill_Coup	romans-d-aventure	policier	no	yes
LockridgeR+F_Garden-Party	romans-d-aventure	policier	no	yes
BenzimraA+J_Finir	romans-d-aventure	policier	no	yes
Daly_Tome	romans-d-aventure	policier	no	yes
Exbrayat_Petite	romans-d-aventure	policier	no	yes
MaurionGilles_Blonde	romans-d-aventure	policier	no	yes
Culpan_Dauphin	romans-d-aventure	policier	no	yes
Durbridge_Signe	romans-d-aventure	policier	no	yes
SaintBriac_Mort	romans-d-aventure	policier	no	yes
Didelot_Ombres	romans-d-aventure	policier	no	yes
