Apresuradamente	ADV	<unknown>
,	CM	,
como	CSUBX	como
en	PREP	en
los	ART	el
tiempos	NC	tiempo
que	CQUE	que
llegaba	VLfin	llegar
tarde	ADV	tarde
a	PREP	a
la	ART	el
escuela	NC	escuela
,	CM	,
entró	VLfin	entrar
Fermín	NP	Fermín
Montenegro	NP	Montenegro
en	PREP	en
el	ART	el
escritorio	NC	escritorio
de	PREP	de
la	ART	el
casa	NC	casa
Dupont	NP	<unknown>
,	CM	,
la	ART	el
primera	ORD	primero
bodega	NC	bodega
de	PREP	de
Jerez	NP	<unknown>
,	CM	,
conocida	VLadj	conocer
en	PREP	en
toda	QU	todo
España	NP	España
;	SEMICOLON	;
«Dupont	NC	<unknown>
Hermanos»	NP	<unknown>
,	CM	,
dueños	NC	dueño
del	PDEL	del
famoso	ADJ	famoso
vino	NC	vino
de	PREP	de
Marchamalo	NP	<unknown>
,	CM	,
y	CC	y
fabricantes	NC	fabricante
del	PDEL	del
cognac	NC	<unknown>
cuyos	REL	cuyo
méritos	ADJ	mérito
se	SE	se
pregonan	VLfin	pregonar
en	PREP	en
la	ART	el
cuarta	ORD	cuarto
plana	NC	plana
de	PREP	de
los	ART	el
periódicos	NC	periódico
,	CM	,
en	PREP	en
los	ART	el
rótulos	NC	rótulo
multicolores	ADJ	multicolor
de	PREP	de
las	ART	el
estaciones	NC	estación
de	PREP	de
ferrocarril	NC	ferrocarril
,	CM	,
en	PREP	en
los	ART	el
muros	NC	muro
de	PREP	de
las	ART	el
casas	NC	casa
viejas	ADJ	viejo
destinados	VLadj	destinar
a	PREP	a
anuncios	NC	anuncio
y	CC	y
hasta	PREP	hasta
en	PREP	en
el	ART	el
fondo	NC	fondo
de	PREP	de
las	ART	el
garrafas	NC	garrafa
de	PREP	de
agua	NC	agua
de	PREP	de
los	ART	el
cafés	NC	café
.	FS	.
Era	VSfin	ser
lunes	NC	lunes
,	CM	,
y	CC	y
el	ART	el
joven	NC	joven
empleado	VLadj	emplear
llegaba	VLfin	llegar
al	PAL	al
escritorio	NC	escritorio
con	PREP	con
una	ART	un
hora	NC	hora
de	PREP	de
retraso	NC	retraso
.	FS	.
Sus	PPO	suyo
compañeros	NC	compañero
apenas	ADV	apenas
levantaron	VLfin	levantar
la	ART	el
vista	NC	vista
de	PREP	de
los	ART	el
papeles	NC	papel
cuando	CSUBX	cuando
él	PPX	él
entró	VLfin	entrar
,	CM	,
como	CSUBX	como
si	CSUBX	si
temieran	VLfin	temer
hacerse	VCLIinf	hacerse
cómplices	NC	cómplice
con	PREP	con
un	ART	un
gesto	NC	gesto
,	CM	,
con	PREP	con
una	ART	un
palabra	NC	palabra
,	CM	,
de	PREP	de
esta	DM	este
falta	NC	falta
inaudita	ADJ	inaudito
de	PREP	de
puntualidad	NC	puntualidad
.	FS	.
Fermín	NP	Fermín
miró	VLfin	mirar
con	PREP	con
inquietud	NC	inquietud
el	ART	el
vasto	ADJ	vasto
salón	NC	salón
del	PDEL	del
escritorio	NC	escritorio
y	CC	y
se	SE	se
fijó	VLfin	fijar
después	ADV	después
en	PREP	en
un	ART	un
despacho	NC	despacho
contiguo	ADJ	contiguo
,	CM	,
donde	ADV	donde
en	PREP	en
medio	NC	medio
de	PREP	de
la	ART	el
soledad	NC	soledad
alzábase	VLfin	<unknown>
majestuoso	ADJ	<unknown>
un	ART	un
bureau	NC	bureau
de	PREP	de
lustrosa	ADJ	lustroso
madera	NC	madera
americana	ADJ	americano
.	FS	.
«El	NC	<unknown>
amo»	NC	<unknown>
no	NEG	no
había	VHfin	haber
llegado	VLadj	llegar
aún	ADV	aún
.	FS	.
Y	CC	y
el	ART	el
joven	NC	joven
,	CM	,
más	ADV	más
tranquilo	ADJ	tranquilo
ya	ADV	ya
,	CM	,
sentose	VLadj	<unknown>
ante	PREP	ante
su	PPO	suyo
mesa	NC	mesa
y	CC	y
comenzó	VLfin	comenzar
a	PREP	a
clasificar	VLinf	clasificar
los	ART	el
papeles	NC	papel
,	CM	,
ordenando	VLger	ordenar
el	ART	el
trabajo	NC	trabajo
del	PDEL	del
día	NC	día
.	FS	.
Aquella	DM	aquel
mañana	NC	mañana
encontraba	VLfin	encontrar
al	PAL	al
escritorio	NC	escritorio
algo	QU	algo
de nuevo	ADV	de~nuevo
,	CM	,
de	PREP	de
extraordinario	ADJ	extraordinario
,	CM	,
como	CSUBX	como
si	CSUBX	si
entrase	VLfin	entrar
en	PREP	en
él	PPX	él
por	PREP	por
vez	NC	vez
primera	ORD	primero
,	CM	,
como	CSUBX	como
si	CSUBX	si
no	NEG	no
hubiesen	VHfin	haber
transcurrido	VLadj	transcurrir
allí	ADV	allí
quince	CARD	quince
años	NC	año
de	PREP	de
su	PPO	suyo
vida	NC	vida
,	CM	,
desde	PREP	desde
que	CQUE	que
le	PPC	él|le
aceptaron	VLfin	aceptar
como	CSUBX	como
zagal	ADJ	<unknown>
para	CSUBI	para
llevar	VLinf	llevar
cartas	NC	carta
al	PAL	al
correo	NC	correo
y	CC	y
hacer	VLinf	hacer
