El	ART	el
Chacho	NP	<unknown>
se	SE	se
había	VHfin	haber
entregado	VLadj	entregar
por	PREP	por
completo	ADJ	completo
a	CSUBI	a
servir	VLinf	servir
los	ART	el
intereses	NC	interés
de	PREP	de
Urquiza	NP	Urquiza
,	CM	,
porque	CSUBX	porque
lo	PPC	él
creía	VLfin	creer
un	ART	un
gobierno	NC	gobierno
de	PREP	de
principios	NC	principio
que	CQUE	que
importaba	VLfin	importar
la	ART	el
salvación	NC	salvación
del	PDEL	del
país	NC	país
del	PDEL	del
abismo	NC	abismo
en	PREP	en
que	CQUE	que
hasta	PREP	hasta
entonces	ADV	entonces
había	VHfin	haber
rodado	ADJ	rodado
.	FS	.
Le	PPC	él|le
había	VHfin	haber
jurado	VLadj	jurar
lealtad	NC	lealtad
,	CM	,
porque	CSUBX	porque
estaba	VEfin	estar
convencido	VLadj	convencer
de	PREP	de
que	CQUE	que
era	VSfin	ser
el	ART	el
gobierno	NC	gobierno
legal	ADJ	legal
y	CC	y
ya	ADV	ya
sabemos	VLfin	saber
hasta	PREP	hasta
dónde	INT	dónde
llevaba	VLfin	llevar
Peñaloza	NP	<unknown>
su	PPO	suyo
lealtad	NC	lealtad
y	CC	y
su	PPO	suyo
abnegación	NC	abnegación
.	FS	.
De	PREP	de
aquel	DM	aquel
lado	NC	lado
estaba	VLfin	estar
su	PPO	suyo
amigo	NC	amigo
el	ART	el
general	ADJ	general
Benavídez	NP	<unknown>
y	CC	y
el	ART	el
Chacho	NP	<unknown>
no	NEG	no
podía	VLfin	poder
tener	VLinf	tener
entonces	ADV	entonces
duda	NC	duda
de	PREP	de
que	CQUE	que
el	ART	el
general	ADJ	general
Urquiza	NP	Urquiza
representaba	VLfin	representar
el	ART	el
dominio	NC	dominio
del	PDEL	del
partido	NC	partido
liberal	ADJ	liberal
y	CC	y
unitario	ADJ	unitario
.	FS	.
El	ART	el
general	ADJ	general
Peñaloza	NP	<unknown>
había	VHfin	haber
llegado	VLadj	llegar
al	PAL	al
apogeo	NC	apogeo
de	PREP	de
sus	PPO	suyo
aspiraciones	NC	aspiración
.	FS	.
La	ART	el
posición	NC	posición
de	PREP	de
general	ADJ	general
,	CM	,
dada	VLadj	dar
por	PREP	por
el	ART	el
Congreso	NC	congreso
de	PREP	de
la	ART	el
Nación	NP	Nación
para	PREP	para
un	ART	un
hombre	NC	hombre
de	PREP	de
su	PPO	suyo
condición	NC	condición
humilde	ADJ	humilde
y	CC	y
que	CQUE	que
no	NEG	no
daba	VLfin	dar
la	ART	el
menor	ADJ	pequeño
importancia	NC	importancia
a	PREP	a
los	ART	el
servicios	NC	servicio
que	CQUE	que
había	VHfin	haber
prestado	VLadj	prestar
,	CM	,
era	VSfin	ser
el	ART	el
último	ADJ	último
límite	NC	límite
donde	ADV	donde
podía	VLfin	poder
llegar	VLinf	llegar
un	ART	un
hombre	NC	hombre
.	FS	.
El	ART	el
general	ADJ	general
Urquiza	NP	Urquiza
lo	PPC	él
había	VHfin	haber
nombrado	VLadj	nombrar
segundo	ORD	segundo
jefe	NC	jefe
del	PDEL	del
ejército	NC	ejército
de	PREP	de
Cuyo	NP	<unknown>
,	CM	,
en	PREP	en
la	ART	el
seguridad	NC	seguridad
de	PREP	de
que	CQUE	que
la	ART	el
paz	NC	paz
no	NEG	no
sería	VSfin	ser
alterada	VLadj	alterar
y	CC	y
que	CQUE	que
Peñaloza	NP	<unknown>
sería	VSfin	ser
el	ART	el
viejo	NC	viejo
sostenedor	ADJ	<unknown>
de	PREP	de
su	PPO	suyo
política	NC	política
.	FS	.
Urquiza	NP	Urquiza
,	CM	,
que	CQUE	que
no	NEG	no
se	SE	se
fiaba	VLfin	fiar
de	PREP	de
nadie	NC	nadie
,	CM	,
escarmentado	VLadj	escarmentar
tal vez	ADV	tal~vez
con	PREP	con
lo	ART	el
mismo	ADJ	mismo
que	CQUE	que
él	PPX	él
había	VHfin	haber
hecho	VLadj	hacer
con	PREP	con
Rosas	NP	<unknown>
,	CM	,
había	VHfin	haber
sin embargo	ADV	sin~embargo
depositado	VLadj	depositar
toda	QU	todo
su	PPO	suyo
confianza	NC	confianza
en	PREP	en
el	ART	el
Chacho	NP	<unknown>
,	CM	,
porque	CSUBX	porque
había	VHfin	haber
calado	VLadj	calar
ya	ADV	ya
toda	QU	todo
la	ART	el
nobleza	NC	nobleza
y	CC	y
lealtad	NC	lealtad
de	PREP	de
su	PPO	suyo
gran	ADJ	gran|grande
carácter	NC	carácter
.	FS	.
"	QT	"
Mientras	CSUBX	mientras
viva	VLfin	vivir
Peñaloza	NP	<unknown>
,	CM	,
se	SE	se
había	VHfin	haber
dicho	VLadj	decir
éste	DM	este
,	CM	,
puede	VLfin	poder
el	ART	el
gobierno	NC	gobierno
estar	VEinf	estar
tranquilo	ADJ	tranquilo
descansando	VLger	descansar
en	PREP	en
mí	PPX	yo
.	FS	.
"	QT	"
El	ART	el
gran	ADJ	gran|grande
caudillo	NC	caudillo
riojano	NC	<unknown>
por	PREP	por
un	ART	un
error	NC	error
de	PREP	de
apreciación	NC	apreciación
se	SE	se
alejaba	VLfin	alejar
así	ADV	así
del	PDEL	del
lado	NC	lado
de	PREP	de
la	ART	el
verdadera	ADJ	verdadero
causa	NC	causa
liberal	ADJ	liberal
,	CM	,
apoyando	VLger	apoyar
a	PREP	a
los	ART	el
hombres	NC	hombre
que	CQUE	que
más	ADV	más
tarde	ADV	tarde
habían	VHfin	haber
de	PREP	de
ensangrentar	VLinf	ensangrentar
el	ART	el
suelo	NC	suelo
de	PREP	de
la	ART	el
patria	NC	patria
por	PREP	por
sus	PPO	suyo
más	ADV	más
mezquinas	ADJ	mezquino
ambiciones	NC	ambición
.	FS	.
Peñaloza	NP	<unknown>
se	SE	se
retiró	VLfin	retirar
a	PREP	a
Jáchal	NP	<unknown>
al lado	ADV	al~lado
de	PREP	de
su	PPO	suyo
familia	NC	familia
donde	ADV	donde
vivía	VLfin	vivir
rodeado	VLadj	rodear
de	PREP	de
toda	QU	todo
la	ART	el
felicidad	NC	felicidad
que	CQUE	que
puede	VMfin	poder
ambicionar	VLinf	ambicionar
el	ART	el
hombre	NC	hombre
más	ADV	más
exigente	ADJ	exigente
.	FS	.
Querido	NC	querido
hasta	PREP	hasta
el	ART	el
delirio	NC	delirio
por	PREP	por
el	ART	el
pueblo	NC	pueblo
y	CC	y
respetado	VLadj	respetar
de	PREP	de
todos	QU	todo
a	PREP	a
causa	NC	causa
del	PDEL	del
poder	NC	poder
que	CQUE	que
representaba	VLfin	representar
,	CM	,
no	NEG	no
se	SE	se
mezclaba	VLfin	<unknown>
para	PREP	para
nada	QU	nada
en	PREP	en
la	ART	el
marcha	NC	marcha
del	PDEL	del
país	NC	país
,	CM	,
que	CQUE	que
tenía	VLfin	tener
sus	PPO	suyo
autoridades	NC	autoridad
libremente	ADV	libre
elegidas	VLadj	elegir
,	CM	,
y	CC	y
que	CQUE	que
lo	PPC	él
guiaban	VLfin	<unknown>
por	PREP	por
el	ART	el
buen	ADJ	bueno
camino	NC	camino
.	FS	.
Consultado	VLadj	consultar
en	PREP	en
las	ART	el
cuestiones	NC	cuestión
más	ADV	más
graves	ADJ	grave
,	CM	,
porque	CSUBX	porque
era	VSfin	ser
un	ART	un
hombre	NC	hombre
de	PREP	de
muy	ADV	muy
buen	ADJ	bueno
juicio	NC	juicio
y	CC	y
vistas	NC	vista
claras	ADJ	claro
,	CM	,
manifestaba	VLfin	manifestar
sus	PPO	suyo
opiniones	NC	opinión
sin	PREP	sin
hacer	VLinf	hacer
la	ART	el
menor	ADJ	pequeño
fuerza	NC	fuerza
en	PREP	en
que	CQUE	que
ellas	PPX	él
fueran	VSfin	ser
aceptadas	VLadj	aceptar
,	CM	,
limitándose	VLadj	limitar
a	PREP	a
decir	VLinf	decir
:	COLON	:
"	QT	"
Ahora	ADV	ahora
que	CQUE	que
el	ART	el
gobierno	NC	gobierno
haga	VLfin	hacer
lo	ART	el
que	CQUE	que
le	PPC	él|le
parezca	VLfin	parecer
,	CM	,
que	CQUE	que
para	PREP	para
eso	DM	ese
es	VSfin	ser
gobierno	NC	gobierno
,	CM	,
yo	PPX	yo
nada	QU	nada
tengo	VLfin	tener
que	CQUE	que
hacer	VLinf	hacer
en	PREP	en
esto	DM	este
.	FS	.
"	QT	"
Peñaloza	NP	<unknown>
nunca	ADV	nunca
recurrió	VLfin	recurrir
al	PAL	al
gobierno	NC	gobierno
para	CSUBI	para
pedir	VLinf	pedir
un	ART	un
servicio	NC	servicio
para	PREP	para
sí	PPX	él
,	CM	,
porque	CSUBX	porque
decía	VLfin	decir
que	CQUE	que
basta	VLfin	bastar
que	CQUE	que
él	PPX	él
pidiera	VLfin	pedir
para	CSUBI	para
que	CQUE	que
al	PAL	al
gobierno	NC	gobierno
acudan	VLfin	acudir
aunque	CSUBX	aunque
no	NEG	no
fuera	VSfin	ser
justo	ADJ	justo
.	FS	.
¿	FS	?
Pero	CCAD	pero
para	PREP	para
qué	INT	qué
necesitaba	VLfin	necesitar
del	PDEL	del
gobierno	NC	gobierno
él	PPX	él
que	CQUE	que
era	VSfin	ser
el	ART	el
verdadero	ADJ	verdadero
gobernador	NC	gobernador
de	PREP	de
La	NP	La
Rioja	NP	<unknown>
?	FS	?
Nadie	NC	nadie
se	SE	se
hubiera	VHfin	haber
atrevido	VLadj	atrever
a	PREP	a
contrariar	VLinf	contrariar
la	ART	el
menor	ADJ	pequeño
disposición	NC	disposición
por	PREP	por
él	PPX	él
tomada	VLadj	tomar
,	CM	,
no	NEG	no
porque	CSUBX	porque
tuvieran	VLfin	tener
miedo	NC	miedo
de	PREP	de
que	CQUE	que
fuera	ADV	fuera
a	PREP	a
enojarse	VLinf	<unknown>
,	CM	,
sino	CCAD	sino
por	PREP	por
no	NEG	no
causarle	VCLIinf	causar
el	ART	el
menor	ADJ	pequeño
disgusto	NC	disgusto
.	FS	.
Peñaloza	NP	<unknown>
era	VSfin	ser
la	ART	el
suprema	ADJ	supremo
justicia	NC	justicia
de	PREP	de
La	NP	La
Rioja	NP	<unknown>
,	CM	,
porque	CSUBX	porque
a	PREP	a
él	PPX	él
acudían	VLfin	acudir
todos	QU	todo
para	CSUBI	para
zanjar	VLinf	zanjar
sus	PPO	suyo
mayores	ADJ	grande
dificultades	NC	dificultad
,	CM	,
porque	CSUBX	porque
sabían	VLfin	saber
que	CQUE	que
Peñaloza	NP	<unknown>
era	VSfin	ser
la	ART	el
rectitud	NC	rectitud
personificada	VLadj	personificar
,	CM	,
incapaz	ADJ	incapaz
de	CSUBI	de
tener	VLinf	tener
parcialidad	NC	parcialidad
a	PREP	a
favor	NC	favor
de	PREP	de
su	PPO	suyo
mejor	ADJ	bueno|mejor
amigo	NC	amigo
.	FS	.
Si	CSUBX	si
se	SE	se
trataba	VLfin	tratar
de	PREP	de
uno	CARD	uno
que	CQUE	que
debía	VLfin	deber
dinero	NC	dinero
a	PREP	a
otro	QU	otro
y	CC	y
acudían	VLfin	acudir
al	PAL	al
Chacho	NP	<unknown>
en	PREP	en
demanda	NC	demanda
de	PREP	de
justicia	NC	justicia
,	CM	,
éste	DM	este
los	PPC	él
oía	VLfin	oír
atentamente	ADV	atento
,	CM	,
y	CC	y
si	CSUBX	si
lo	PPC	él
encontraba	VLfin	encontrar
justo	ADJ	justo
,	CM	,
condenaba	VLfin	condenar
al	PAL	al
deudor	ADJ	deudor
a	CSUBI	a
pagar	VLinf	pagar
la	ART	el
suma	NC	suma
cobrada	VLadj	cobrar
sin	PREP	sin
más	ADV	más
trámite	NC	trámite
.	FS	.
Pero	CCAD	pero
daba	VLfin	dar
el	ART	el
caso	NC	caso
de	PREP	de
que	CQUE	que
siempre	ADV	siempre
el	ART	el
deudor	ADJ	deudor
no	NEG	no
tenía	VLfin	tener
dinero	NC	dinero
y	CC	y
el	ART	el
acreedor	NC	acreedor
exigía	VLfin	exigir
el	ART	el
