—	DASH	--
Mira	NP	<unknown>
,	CM	,
Lupe	NP	<unknown>
,	CM	,
ese	DM	ese
es	VSfin	ser
mi	PPO	mi|mío
novio	NC	novio
.	FS	.
—	DASH	--
Cuál	NP	<unknown>
?	FS	?
—	DASH	--
Aquel	NP	<unknown>
jovencito	NC	joven
de	PREP	de
bigote	NC	bigote
negro	ADJ	negro
.	FS	.
Lupe	NP	<unknown>
le	PPC	él|le
contempló	VLfin	contemplar
con	PREP	con
mirada	NC	mirada
escudriñadora	ADJ	<unknown>
.	FS	.
—	DASH	--
Qué	VLfin	<unknown>
te	PPX	tú
parece	VLfin	parecer
?	FS	?
—	DASH	--
Simpático	NP	<unknown>
.	FS	.
—	DASH	--
Pobrecito	NP	<unknown>
!	FS	!
—	DASH	--
Por	VLfin	<unknown>
qué	INT	qué
?	FS	?
—	DASH	--
Figúrate	VLfin	<unknown>
que	CQUE	que
no	NEG	no
tiene	VLfin	tener
posadas	VLadj	posar
.	FS	.
—	DASH	--
Y	ALFS	Y
tú	PPX	tú
lo	PPC	él
crees	VLfin	crear|creer
?	FS	?
—	DASH	--
Cómo	NP	<unknown>
no	NEG	no
,	CM	,
Lupe	NP	<unknown>
de	PREP	de
mi	PPO	mi|mío
alma	NC	alma
,	CM	,
si	CSUBX	si
es	VSfin	ser
tan	ADV	tan
bueno	ADJ	bueno
...	DOTS	...
.	FS	.
—	DASH	--
De	VLfin	<unknown>
modo	NC	modo
que	CQUE	que
van	VLfin	ir
a	PREP	a
pasar	VLinf	pasar
Vds	NP	<unknown>
.	FS	.
separados	VLadj	separar
la	ART	el
Noche	NP	<unknown>
Buena	NP	<unknown>
.	FS	.
—	DASH	--
Tú	NP	<unknown>
dirás	VLfin	decir
;	SEMICOLON	;
por	PREP	por
eso	DM	ese
estoy	VEfin	estar
tan	ADV	tan
contrariada	VLadj	contrariar
.	FS	.
—	DASH	--
Pobre	VLfin	<unknown>
Otilia	NP	Otilia
!	FS	!
pobres	ADJ	pobre
enamorados	VLadj	enamorar
!	FS	!
Que	CQUE	que
gusto	VLfin	gustar
que	CQUE	que
yo	PPX	yo
...	DOTS	...
.	FS	.
.	FS	.
—	DASH	--
Que	VLfin	<unknown>
tú	PPX	tú
qué	INT	qué
