Qu'	Pt	QUE
attendez	Vvc	ATTENDRE
-vous	Nc	-vous
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
à	S	À
quelle	Dt	QUEL
extrémité	Nc	EXTRÉMITÉ
Voulez	Vvc	VOULOIR
-vous	Nc	-vous
réserver	Vvn	RÉSERVER
ce	Dd	CE
secours	Nc	SECOURS
tant	Rg	TANT
vanté	Ge	VANTER
?	Fs	?
Qui	Pt	QUI
doit	Vvc	DEVOIR
rompre	Vvn	ROMPRE
le	Da	LE
coup	Nc	COUP
dont	Pr	DONT
le	Da	LE
ciel	Nc	CIEL
nous	Pp	NOUS
menace	Vvc	MENACER
.	Fs	.
Vous	Pp	VOUS
voyez	Vvc	VOIR
,	Fw	,
nous	Pp	NOUS
touchons	Vvc	TOUCHER
l'	Da	LE
instant	Nc	INSTANT
de	S	DE
ma	Ds	MON
disgrâce	Nc	DISGRÂCE
.	Fs	.
Cependant	Rg	CEPENDANT
ce	Dd	CE
secours	Nc	SECOURS
est	Vuc	ÊTRE
encore	Rg	ENCORE
douteux	Ag	DOUTEUX
,	Fw	,
Peut-être	Vvc	Peut-être
imaginaire	Ag	IMAGINAIRE
,	Fw	,
et	Cc	ET
peut-être	Rg	PEUT-ÊTRE
honteux	Ag	HONTEUX
.	Fs	.
Nous	Pp	NOUS
auriez	Vuc	AVOIR
-vous	Nc	-vous
flattés	Ge	FLATTER
d'	S	DE
un	Dn	UN
espoir	Nc	ESPOIR
si	Rg	SI
propice	Ag	PROPICE
Pour	Nc	POUR
nous	Pp	NOUS
abandonner	Vvn	ABANDONNER
au	S+Da	À+LE
bord	Nc	BORD
du	S+Da	DE+LE
précipice	Nc	PRÉCIPICE
,	Fw	,
Et	Vvc	Et
nous	Pp	NOUS
laisser	Vvn	LAISSER
périr	Vvn	PÉRIR
en	S	EN
des	Dn	UN
extrémités	Nc	EXTRÉMITÉ
Où	Vvc	Où
pour	S	POUR
vous	Pp	VOUS
obéir	Vvn	OBÉIR
nous	Pp	NOUS
nous	Pp	NOUS
sommes	Vuc	ÊTRE
jetés	Ge	JETER
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
par	S	PAR
votre	Ds	VOTRE
ordre	Nc	ORDRE
exprès	Ag	EXPRÈS
que	Pr	QUE
j'	Pp	JE
aime	Vvc	AIMER
Bérénice	Nc	Bérénice
,	Fw	,
Si	Vvc	Si
j'	Pp	JE
ai	Vuc	AVOIR
gagné	Ge	GAGNER
son	Ds	SON
coeur	Nc	CUR
c'	Pd	CE
est	Vuc	ÊTRE
par	S	PAR
votre	Ds	VOTRE
artifice	Nc	ARTIFICE
.	Fs	.
Cependant	Rg	CEPENDANT
je	Pp	JE
la	Pp	IL
perds	Vvc	PERDRE
,	Fw	,
on	Pp	ON
la	Pp	IL
presse	Vvc	PRESSER
,	Fw	,
et	Cc	ET
demain	Rg	DEMAIN
Le	Ag	Le
roi	Nc	ROI
veut	Vvc	VOULOIR
qu'	Cs	QUE
à	S	À
mon	Ds	MON
frère	Nc	FRÈRE
elle	Pp	IL
donne	Vvc	DONNER
la	Da	LE
main	Nc	MAIN
.	Fs	.
Demain	Rg	DEMAIN
de	S	DE
vos	Ds	VOTRE
deux	Nc	DEUX
fils	Nc	FIL|FILS
la	Da	LE
fatale	Ag	FATAL
journée	Nc	JOURNÉE
Verra	Vvc	VOIR
la	Da	LE
mort	Nc	MORT
de	S	DE
l'	Da	LE
un	Pi	UN
,	Fw	,
de	S	DE
l'	Da	LE
autre	Pi	AUTRE
l'	Da	LE
hyménée	Nc	HYMÉNÉE
:	Fw	:
Ariarathe	Nc	Ariarathe
heureux	Ag	HEUREUX
,	Fw	,
et	Cc	ET
moi	Pp	JE
prêt	Ag	PRÊT
de	S	DE
mourir	Vvn	MOURIR
Vous	Vvc	Vous
imputer	Vvn	IMPUTER
le	Da	LE
coup	Nc	COUP
qui	Pr	QUI
me	Pp	JE
fera	Vvc	FAIRE|FERRER
périr	Vvn	PÉRIR
.	Fs	.
Ah	I	AH
!	Fs	!
Mon	Ds	MON
fils	Nc	FIL|FILS
que	Cs	QUE
ce	Dd	CE
coup	Nc	COUP
serait	Vuc	ÊTRE
insupportable	Ag	INSUPPORTABLE
.	Fs	.
Mais	Cc	MAIS
n'	Rp	NE
appréhendons	Vvc	APPRÉHENDER
point	Rg	POINT
un	Dn	UN
sort	Nc	SORT
si	Rg	SI
déplorable	Ag	DÉPLORABLE
,	Fw	,
Le	Vvc	Le
mal	Nc	MAL
est	Vuc	ÊTRE
encor	Nc	encor
loin	Rg	LOIN
,	Fw	,
et	Cc	ET
pour	S	POUR
un	Dn	UN
changement	Nc	CHANGEMENT
Le	Vvc	Le
temps	Nc	TEMPS
...	Fs	...
Quel	Vvc	Quel
temps	Nc	TEMPS
?	Fs	?
Demain	Rg	DEMAIN
:	Fw	:
Il	Pp	IL
suffit	Vvc	SUFFIRE
d'	S	DE
un	Dn	UN
moment	Nc	MOMENT
.	Fs	.
Oui	Rg	OUI
,	Fw	,
malgré	S	MALGRÉ
les	Da	LE
efforts	Nc	EFFORT
de	S	DE
la	Da	LE
puissance	Nc	PUISSANCE
unie	Ge	UNIR
De	Vvc	De
notre	Ds	NOTRE
Cappadoce	Nc	CAPPADOCE
et	Cc	ET
de	S	DE
la	Da	LE
Bithynie	Nc	Bithynie
,	Fw	,
De	Vvc	De
votre	Ds	VOTRE
oncle	Nc	ONCLE
son	Ds	SON
père	Nc	PÈRE
et	Cc	ET
du	S+Da	DE+LE
roi	Nc	ROI
mon	Ds	MON
époux	Nc	ÉPOUX
,	Fw	,
Avant	Ga	Avant
la	Da	LE
fin	Nc	FIN
du	S+Da	DE+LE
jour	Nc	JOUR
Bérénice	Ag	Bérénice
est	Vuc	ÊTRE
à	S	À
vous	Pp	VOUS
.	Fs	.
Hélas	Vvc	Hélas
!	Fs	!
Combien	Rg	COMBIEN
de	S	DE
fois	Nc	FOI|FOIS
avecque	Vvc	avecque
la	Da	LE
princesse	Nc	PRINCE|PRINCESSE
Nous	Ag	Nous
avez	Vuc	AVOIR
-vous	Nc	-vous
flattés	Ge	FLATTER
de	S	DE
la	Da	LE
même	Ag	MÊME
promesse	Nc	PROMESSE
,	Fw	,
Sans	Vvc	Sans
que	Cs	QUE
depuis	S	DEPUIS
six	Nc	SIX
mois	Nc	MOI|MOIS
qu'	Pr	QUE
elle	Pp	IL
est	Vuc	ÊTRE
en	S	EN
cette	Dd	CE
Cour	Nc	COUR
Vous	Nc	Vous
ayez	Vuc	AVOIR
rien	Pi	RIEN
tenté	Ge	TENTER
pour	S	POUR
servir	Vvn	SERVIR
notre	Ds	NOTRE
amour	Nc	AMOUR
,	Fw	,
Pour	Nc	POUR
vous	Pp	VOUS
laisser	Vvn	LAISSER
choisir	Vvn	CHOISIR
ce	Dd	CE
moment	Nc	MOMENT
favorable	Ag	FAVORABLE
Elle	Vvc	Elle
a	Vuc	AVOIR
sous	S	SOUS
des	Dn	UN
maux	Nc	MAL
feints	Ge	FEINDRE
couvrant	Ga	COUVRIR
le	Da	LE
véritable	Ag	VÉRITABLE
Reculé	Vvc	Reculé
cet	Dd	CE
hymen	Nc	HYMEN
,	Fw	,
et	Cc	ET
su	Ge	SAVOIR
depuis	S	DEPUIS
six	Nc	SIX
mois	Nc	MOI|MOIS
Abuser	Vvn	ABUSER
un	Dn	UN
amant	Nc	AMANT
,	Fw	,
deux	Nc	DEUX
peuples	Nc	PEUPLE
et	Cc	ET
deux	Nc	DEUX
rois	Nc	ROI
.	Fs	.
Mais	Cc	MAIS
en	S	EN
vain	Ag	VAIN
,	Fw	,
puisque	Cs	PUISQUE
enfin	Rg	ENFIN
malgré	S	MALGRÉ
son	Ds	SON
artifice	Nc	ARTIFICE
On	Vvc	On
la	Da	LE
presse	Nc	PRESSE|PRESSÉ
,	Fw	,
et	Cc	ET
demain	Rg	DEMAIN
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
qu'	Cs	QUE
elle	Pp	IL
obéisse	Vvc	OBÉIR
.	Fs	.
Puis	Vvc	POUVOIR
donc	Rg	DONC
qu'	Cs	QUE
on	Pp	ON
ne	Rp	NE
saurait	Vvc	SAURER|SAVOIR
plus	Rg	PLUS
longtemps	Rg	LONGTEMPS
reculer	Vvn	RECULER
Tyridate	Vvc	Tyridate
,	Fw	,
il	Pp	IL
est	Vuc	ÊTRE
temps	Nc	TEMPS
d'	S	DE
agir	Vvn	AGIR
,	Fw	,
et	Cc	ET
de	S	DE
parler	Vvn	PARLER
.	Fs	.
Je	Pp	JE
vous	Pp	VOUS
aime	Vvc	AIMER
,	Fw	,
et	Cc	ET
pour	S	POUR
vous	Pp	VOUS
je	Pp	JE
suis	Vuc	ÊTRE
si	Rg	SI
bonne	Ag	BON
mère	Nc	MÈRE
Qu'	Vvc	Qu'
à	S	À
peine	Nc	PEINE
je	Pp	JE
me	Pp	JE
sens	Vvc	SENTIR
l'	Pp	IL
être	Vun	ÊTRE
de	S	DE
votre	Ds	VOTRE
frère	Nc	FRÈRE
,	Fw	,
Puisque	Vvc	Puisque
malgré	S	MALGRÉ
l'	Da	LE
amour	Nc	AMOUR
que	Pr	QUE
je	Pp	JE
dois	Vvc	DEVOIR
à	S	À
tous	Di	TOUT
deux	Nc	DEUX
Vous	Nc	Vous
avez	Vuc	AVOIR
toujours	Rg	TOUJOURS
eu	Ge	AVOIR
tous	Di	TOUT
mes	Ds	MON
soins	Nc	SOIN
,	Fw	,
tous	Di	TOUT
mes	Ds	MON
voeux	Nc	VU
.	Fs	.
Je	Pp	JE
ne	Rp	NE
sais	Vvc	SAVOIR
quel	Dt	QUEL
démon	Nc	DÉMON
ou	Cc	OU
quelle	Dt	QUEL
autre	Ag	AUTRE
puissance	Nc	PUISSANCE
Dans	Vvc	Dans
mon	Ds	MON
coeur	Nc	CUR
entre	S	ENTRE
vous	Pp	VOUS
met	Vvc	METTRE
cette	Dd	CE
différence	Nc	DIFFÉRENCE
:	Fw	:
Mais	Cc	MAIS
soit	Vuc	ÊTRE
démon	Nc	DÉMON
ou	Cc	OU
dieu	Nc	DIEU
,	Fw	,
soit	Vuc	ÊTRE
injustice	Nc	INJUSTICE
ou	Cc	OU
fureur	Nc	FUREUR
,	Fw	,
Tyridate	Vvc	Tyridate
lui	Pp	IL
seul	Ag	SEUL
règne	Vvc	RÉGNER
dedans	Rg	DEDANS
mon	Ds	MON
coeur	Nc	CUR
.	Fs	.
Peut-être	Rg	Peut-être
que	Rg	QUE
privé	Ge	PRIVER
par	S	PAR
la	Da	LE
faveur	Nc	FAVEUR
de	S	DE
l'	Da	LE
âge	Nc	ÂGE
De	Vvc	De
l'	Da	LE
espoir	Nc	ESPOIR
de	S	DE
régner	Vvn	RÉGNER
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
là	Rg	LÀ
votre	Ds	VOTRE
partage	Nc	PARTAGE
,	Fw	,
Et	Vvc	Et
par	S	PAR
cette	Dd	CE
amitié	Nc	AMITIÉ
le	Da	LE
ciel	Nc	CIEL
reconnaissant	Ag	RECONNAISSANT
,	Fw	,
Récompense	Vvc	Récompense
le	Da	LE
tort	Nc	TORT
qu'	Pr	QUE
il	Pp	IL
vous	Pp	VOUS
fit	Vvc	FAIRE
en	S	EN
naissant	Ga	NAÎTRE
.	Fs	.
Mais	Cc	MAIS
moins	Rg	MOINS
par	S	PAR
ces	Dd	CE
raisons	Nc	RAISON
que	Cs	QUE
quand	Cs	QUAND
je	Pp	JE
considère	Vvc	CONSIDÉRER
Quelle	Ag	Quelle
amitié	Nc	AMITIÉ
le	Da	LE
roi	Nc	ROI
témoigne	Vvc	TÉMOIGNER
à	S	À
votre	Ds	VOTRE
frère	Nc	FRÈRE
,	Fw	,
Combien	Vvc	Combien
auprès	Rg	AUPRÈS
de	S	DE
lui	Pp	IL
vous	Pp	VOUS
êtes	Vuc	ÊTRE
maltraité	Ge	MALTRAITER
,	Fw	,
Je	Vvc	Je
crois	Vvc	CROIRE|CROÎTRE
que	Cs	QUE
je	Pp	JE
vous	Pp	VOUS
dois	Vvc	DEVOIR
cette	Dd	CE
inégalité	Nc	INÉGALITÉ
.	Fs	.
Vous	Pp	VOUS
voyez	Vvc	VOIR
que	Rg	QUE
demain	Rg	DEMAIN
votre	Ds	VOTRE
père	Nc	PÈRE
lui	Pp	IL
donne	Vvc	DONNER
Par	Nc	PAR
cet	Dd	CE
hymen	Nc	HYMEN
le	Da	LE
droit	Nc	DROIT
d'	S	DE
une	Dn	UN
double	Ag	DOUBLE
couronne	Nc	COURONNE
,	Fw	,
Et	Vvc	Et
le	Da	LE
comblant	Ga	COMBLER
des	Dn	UN
biens	Nc	BIEN
qu'	Pr	QUE
il	Pp	IL
devrait	Vvc	DEVOIR
partager	Vvn	PARTAGER
,	Fw	,
Le	Vvc	Le
traite	Vvc	TRAITER
seul	Ag	SEUL
en	S	EN
fils	Nc	FIL|FILS
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
en	Pp	EN
étranger	Ag	ÉTRANGER
.	Fs	.
Élevé	Vvc	Élevé
dedans	Rg	DEDANS
Rome	Nc	Rome
où	Pr	OÙ
vous	Pp	VOUS
serviez	Vvc	SERVIR
d'	S	DE
otage	Nc	OTAGE
Il	Vvc	Il
vous	Pp	VOUS
voit	Vvc	VOIR
sans	S	SANS
tendresse	Nc	TENDRESSE
;	Fw	;
et	Cc	ET
ce	Dd	CE
désavantage	Nc	DÉSAVANTAGE
Vous	Nc	Vous
donne	Vvc	DONNER
par	S	PAR
l'	Da	LE
effort	Nc	EFFORT
d'	S	DE
une	Dn	UN
juste	Ag	JUSTE
pitié	Nc	PITIÉ
Comme	Vvc	Comme
au	S+Da	À+LE
plus	Rg	PLUS
malheureux	Ag	MALHEUREUX
toute	Rg	TOUTE
mon	Ds	MON
amitié	Nc	AMITIÉ
.	Fs	.
Puisqu'à	Cs	Puisqu'à
mon	Ds	MON
mauvais	Ag	MAUVAIS
sort	Nc	SORT
je	Pp	JE
dois	Vvc	DEVOIR
cet	Dd	CE
avantage	Nc	AVANTAGE
,	Fw	,
J'	Vvc	J'
aimerai	Vvc	AIMER
désormais	Rg	DÉSORMAIS
le	Da	LE
malheur	Nc	MALHEUR
qui	Pr	QUI
m'	Pp	JE
outrage	Vvc	OUTRAGER
.	Fs	.
Cette	Dd	CE
amitié	Nc	AMITIÉ
,	Fw	,
mon	Ds	MON
fils	Nc	FIL|FILS
,	Fw	,
vous	Pp	VOUS
ayant	Ga	AVOIR
destiné	Ge	DESTINER
À	Nc	À
l'	Da	LE
hymen	Nc	HYMEN
dès	S	DÈS
longtemps	Rg	LONGTEMPS
promis	Ge	PROMETTRE
à	S	À
votre	Ds	VOTRE
aîné	Nc	AÎNÉ
,	Fw	,
Je	Vvc	Je
vous	Pp	VOUS
fis	Vvc	FAIRE
inconnu	Ag	INCONNU
passer	Vvn	PASSER
en	S	EN
Bithynie	Nc	Bithynie
,	Fw	,
Où	Vvc	Où
l'	Da	LE
amour	Nc	AMOUR
déployant	Ga	DÉPLOYER
sa	Ds	SON
puissance	Nc	PUISSANCE
infinie	Ag	INFINI
,	Fw	,
La	Vvc	La
princesse	Nc	PRINCE|PRINCESSE
vous	Pp	VOUS
plût	Vvc	PLAIRE|PLEUVOIR
,	Fw	,
vous	Pp	VOUS
lui	Pp	IL
plûtes	Vvc	PLAIRE
,	Fw	,
ainsi	Rg	AINSI
Je	Ag	Je
pensais	Vvc	PENSER
que	Rg	QUE
déjà	Rg	DÉJÀ
tout	Rg	TOUT
m'	Pp	JE
avait	Vuc	AVOIR
réussi	Ge	RÉUSSIR
:	Fw	:
