Invincibles	Ag	INVINCIBLE
Anglais	Vvc	Anglais
,	Fw	,
peuple	Nc	PEUPLE
jadis	Rg	JADIS
fidèle	Ag	FIDÈLE
,	Fw	,
Et	Vvc	Et
maintenant	Rg	MAINTENANT
ingrat	Ag	INGRAT
,	Fw	,
pardonnez	Vvc	PARDONNER
à	S	À
mon	Ds	MON
zèle	Nc	ZÈLE
,	Fw	,
Le	Vvc	Le
devoir	Vvn	DEVOIR
d'	S	DE
un	Dn	UN
sujet	Nc	SUJET
anime	Vvc	ANIMER
mon	Ds	MON
courroux	Nc	COURROUX
,	Fw	,
Et	Vvc	Et
de	S	DE
vos	Ds	VOTRE
actions	Nc	ACTION
me	Pp	JE
fait	Vvc	FAIRE
rougir	Vvn	ROUGIR
pour	S	POUR
vous	Pp	VOUS
,	Fw	,
Oui	Vvc	Oui
peuple	Nc	PEUPLE
,	Fw	,
je	Pp	JE
rougis	Vvc	ROUGIR
de	S	DE
honte	Nc	HONTE
et	Cc	ET
de	S	DE
colère	Nc	COLÈRE
,	Fw	,
Et	Vvc	Et
cette	Dd	CE
lâcheté	Nc	LÂCHETÉ
si	Rg	SI
visible	Ag	VISIBLE
et	Cc	ET
si	Rg	SI
claire	Ag	CLAIR
,	Fw	,
Qui	Vvc	Qui
vous	Pp	VOUS
laisse	Vvc	LAISSER
survivre	Vvn	SURVIVRE
à	S	À
vos	Ds	VOTRE
Princes	Nc	PRINCE
trahis	Vvc	TRAHIR
,	Fw	,
Me	Vvc	Me
défend	Vvc	DÉFENDRE
aujourd'hui	Rg	AUJOURD'HUI
d'	S	DE
avouer	Vvn	AVOUER
mon	Ds	MON
pays	Nc	PAYS
:	Fw	:
Cette	Dd	CE
fidélité	Nc	FIDÉLITÉ
si	Rg	SI
rare	Ag	RARE
et	Cc	ET
si	Rg	SI
connue	Ge	CONNAÎTRE
,	Fw	,
Par	Nc	PAR
qui	Pr	QUI
cette	Dd	CE
couronne	Nc	COURONNE
autrefois	Rg	AUTREFOIS
maintenue	Ge	MAINTENIR
,	Fw	,
Bravait	Vvc	BRAVER
,	Fw	,
en	S	EN
sûreté	Nc	SÛRETÉ
ses	Ds	SON
plus	Rg	PLUS
grands	Ag	GRAND
ennemis	Nc	ENNEMI
,	Fw	,
Consent-elle	Vvc	Consent-elle
aux	S+Da	À+LES
forfaits	Nc	FORFAIT
que	Pr	QUE
vous	Pp	VOUS
avez	Vuc	AVOIR
commis	Ge	COMMETTRE
'	Vvc	'
Cependant	Ga	Cependant
qu'	Cs	QUE
une	Dn	UN
femme	Nc	FEMME
abat	Vvc	ABATTRE
ce	Dd	CE
grand	Ag	GRAND
courage	Nc	COURAGE
,	Fw	,
Qu'	Vvc	Qu'
un	Dn	UN
lâche	Ag	LÂCHE
usurpateur	Nc	USURPATEUR
vous	Pp	VOUS
retient	Vvc	RETENIR
en	S	EN
servage	Nc	SERVAGE
,	Fw	,
Votre	Nc	Votre
Reine	Vvc	Reine
campée	Ge	CAMPER
au	S+Da	À+LE
bout	Nc	BOUT
de	S	DE
vos	Ds	VOTRE
fossés	Nc	FOSSÉ
Attend	Vvc	ATTENDRE
votre	Ds	VOTRE
secours	Nc	SECOURS
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
la	Pp	IL
repoussez	Vvc	REPOUSSER
;	Fw	;
Elle	Vvc	Elle
vous	Pp	VOUS
tend	Vvc	TENDRE
les	Da	LE
bras	Nc	BRAS
,	Fw	,
vous	Pp	VOUS
somme	Vvc	SOMMER
et	Cc	ET
vous	Pp	VOUS
accorde	Vvc	ACCORDER
Ce	Vvc	Ce
que	Cs	QUE
vous	Pp	VOUS
refusez	Vvc	REFUSER
de	S	DE
sa	Ds	SON
miséricorde	Nc	MISÉRICORDE
.	Fs	.
Ô	Vvc	Ô
piété	Nc	PIÉTÉ
bannie	Ge	BANNIR
!	Fs	!
Ô	Vvc	Ô
foi	Nc	FOI
que	Pr	QUE
nous	Pp	NOUS
devons	Vvc	DEVOIR
Aux	Ag	Aux
Princes	Nc	PRINCE
souverains	Nc	SOUVERAIN
de	S	DE
qui	Pr	QUI
nous	Pp	NOUS
relevons	Vvc	RELEVER
!	Fs	!
Ô	Nc	Ô
Majesté	Vvc	Majesté
jadis	Rg	JADIS
si	Rg	SI
sainte	Ag	SAINT
et	Cc	ET
si	Rg	SI
sacrée	Ge	SACRER
,	Fw	,
Faut-il	Vvc	Faut-il
que	Cs	QUE
ta	Ds	TON
grandeur	Nc	GRANDEUR
soit	Vuc	ÊTRE
si	Rg	SI
peu	Rg	PEU
révérée	Ge	RÉVÉRER
'	Vvc	'
Qu'	Vvc	Qu'
un	Dn	UN
traître	Nc	TRAÎTRE
réussisse	Vvc	RÉUSSIR
en	S	EN
ses	Ds	SON
lâches	Ag	LÂCHE
projets	Nc	PROJET
,	Fw	,
Qu'	Vvc	Qu'
il	Pp	IL
s'	Pp	SE
arme	Vvc	ARMER
contre	S	CONTRE
toi	Pp	TU
de	S	DE
tes	Ds	TON
propres	Ag	PROPRE
sujets	Nc	SUJET
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
ceux	Pd	CELUI
que	Pr	QUE
le	Da	LE
Ciel	Nc	CIEL
a	Vuc	AVOIR
fait	Ge	FAIRE
Dieux	Ag	Dieux
de	S	DE
la	Da	LE
terre	Nc	TERRE
,	Fw	,
Soient	Vvc	SAVOIR
chassés	Ge	CHASSER
et	Cc	ET
bannis	Vvc	BANNIR
dans	S	DANS
la	Da	LE
seule	Ag	SEUL
Angleterre	Nc	Angleterre
.	Fs	.
Je	Pp	JE
m'	Pp	JE
emporte	Vvc	EMPORTER
,	Fw	,
il	Pp	IL
est	Vuc	ÊTRE
vrai	Ag	VRAI
,	Fw	,
mais	Cc	MAIS
dans	S	DANS
ce	Dd	CE
souvenir	Nc	SOUVENIR
À	Nc	À
peine	Nc	PEINE
mes	Ds	MON
amis	Nc	AMI
me	Pp	JE
puis	Vvc	POUVOIR
-je	Vvc	-je
retenir	Vvn	RETENIR
,	Fw	,
Quand	Nc	Quand
cette	Dd	CE
trahison	Nc	TRAHISON
revient	Vvc	REVENIR
à	S	À
ma	Ds	MON
mémoire	Nc	MÉMOIRE
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
je	Pp	JE
suis	Vuc	ÊTRE
témoin	Ag	TÉMOIN
d'	S	DE
une	Dn	UN
action	Nc	ACTION
si	Rg	SI
noire	Ag	NOIR
,	Fw	,
Que	Vvc	Que
je	Pp	JE
vous	Pp	VOUS
vois	Vvc	ALLER|VOIR
subir	Vvn	SUBIR
une	Dn	UN
honteuse	Ag	HONTEUX
loi	Nc	LOI
,	Fw	,
Je	Vvc	Je
ne	Rp	NE
vous	Pp	VOUS
connais	Vvc	CONNAÎTRE
plus	Rg	PLUS
,	Fw	,
ou	Cc	OU
je	Pp	JE
vous	Pp	VOUS
méconnais	Vvc	MÉCONNAÎTRE
:	Fw	:
En	S	EN
un	Dn	UN
mot	Nc	MOT
de	S	DE
sujets	Nc	SUJET
si	Rg	SI
vaillants	Ag	VAILLANT
et	Cc	ET
si	Rg	SI
braves	Ag	BRAVE
,	Fw	,
Par	Nc	PAR
votre	Ds	VOTRE
lâcheté	Nc	LÂCHETÉ
vous	Pp	VOUS
vous	Pp	VOUS
rendez	Vvc	RENDRE
esclaves	Ag	ESCLAVE
,	Fw	,
Et	Vvc	Et
je	Pp	JE
croirais	Vvc	CROIRE
encor	Nc	encor
votre	Ds	VOTRE
sort	Nc	SORT
assez	Rg	ASSEZ
