Enfin	Rg	ENFIN
nous	Pp	NOUS
la	Pp	IL
voyons	Vvc	VOIR
cette	Dd	CE
grande	Ag	GRAND
journée	Nc	JOURNÉE
Qui	Vvc	Qui
de	S	DE
tout	Pi	TOUT
l'	Pp	IL
Orient	Vvc	Orient
règle	Vvc	RÉGLER
la	Da	LE
destinée	Nc	DESTINÉE
;	Fw	;
Nous	Vvc	Nous
la	Pp	IL
voyons	Vvc	VOIR
,	Fw	,
Théone	Vvc	Théone
,	Fw	,
et	Cc	ET
nos	Ds	NOTRE
bras	Nc	BRAS
désarmés	Ge	DÉSARMER
Rougissent	Vvc	ROUGIR
sous	S	SOUS
les	Da	LE
fers	Nc	FER|FERS
dont	Pr	DONT
ils	Pp	ILS
sont	Vuc	ÊTRE
opprimés	Ge	OPPRIMER
.	Fs	.
Nos	Ds	NOTRE
honneurs	Nc	HONNEUR
sont	Vuc	ÊTRE
détruits	Ge	DÉTRUIRE
:	Fw	:
cette	Dd	CE
grandeur	Nc	GRANDEUR
suprême	Ag	SUPRÊME
,	Fw	,
Ces	Vvc	Ces
armes	Nc	ARME|ARMÉ
,	Fw	,
ces	Dd	CE
soldats	Nc	SOLDAT
,	Fw	,
ces	Dd	CE
rois	Nc	ROI
,	Fw	,
ce	Dd	CE
diadème	Nc	DIADÈME
,	Fw	,
Cet	Vvc	Cet
éclat	Nc	ÉCLAT
triomphant	Ag	TRIOMPHANT
qui	Pr	QUI
brillait	Vvc	BRILLER
dans	S	DANS
ma	Ds	MON
cour	Nc	COUR
,	Fw	,
Tout	Vvc	Tout
s'	Pp	SE
est	Vuc	ÊTRE
évanoui	Ge	ÉVANOUIR
dans	S	DANS
l'	Da	LE
espace	Nc	ESPACE
d'	S	DE
un	Dn	UN
jour	Nc	JOUR
.	Fs	.
Ton	Ds	TON
âme	Nc	ÂME
,	Fw	,
en	S	EN
ce	Dd	CE
moment	Nc	MOMENT
,	Fw	,
d'	S	DE
étonnement	Nc	ÉTONNEMENT
saisie	Ge	SAISIR
,	Fw	,
Reconnaît-elle	Vvc	Reconnaît-elle
encor	Nc	encor
la	Da	LE
fière	Ag	FIER
Zénobie	Nc	Zénobie
,	Fw	,
Qui	Vvc	Qui
,	Fw	,
vengeant	Ga	VENGER
un	Dn	UN
époux	Nc	ÉPOUX
et	Cc	ET
deux	Nc	DEUX
fils	Nc	FIL|FILS
par	S	PAR
ses	Ds	SON
mains	Nc	MAIN
