Soeur	Nc	SUR
du	S+Da	DE+LE
plus	Rg	PLUS
grand	Ag	GRAND
des	S+Da	DE+LE|DE+LES
Dieux	Nc	DIEU|DIEUX
,	Fw	,
(	Fw	(
car	Cc	CAR
ce	Dd	CE
nom	Nc	NOM
seul	Ag	SEUL
me	Pp	JE
reste	Vvc	RESTER
)	Fw	)
Honteuse	Nc	Honteuse
,	Fw	,
je	Pp	JE
descends	Vvc	DESCENDRE
de	S	DE
la	Da	LE
voûte	Nc	VOÛTE
Céleste	Vvc	Céleste
,	Fw	,
Et	Vvc	Et
veuve	Nc	VEUF|VEUVE
d'	S	DE
un	Dn	UN
époux	Nc	ÉPOUX
qui	Pr	QUI
ne	Rp	NE
mourra	Vvc	MOURIR
jamais	Rg	JAMAIS
,	Fw	,
Le	Vvc	Le
fuis	Ge	FUIR
,	Fw	,
puisqu'il	Cs	puisqu'il
me	Pp	JE
fuit	Vvc	FUIR
,	Fw	,
et	Cc	ET
lui	Pp	IL
laisse	Vvc	LAISSER
la	Da	LE
paix	Nc	PAIX
;	Fw	;
Les	Vvc	Les
maîtresses	Nc	MAÎTRE|MAÎTRESSE
,	Fw	,
enfin	Rg	ENFIN
,	Fw	,
l'	Pp	IL
emportent	Vvc	EMPORTER
sur	S	SUR
l'	Da	LE
épouse	Nc	ÉPOUSE|ÉPOUX
,	Fw	,
Elles	Nc	Elles
sont	Vuc	ÊTRE
les	Da	LE
Junons	Nc	Junons
,	Fw	,
et	Cc	ET
je	Pp	JE
suis	Vuc	ÊTRE
la	Da	LE
jalouse	Nc	JALOUX
,	Fw	,
Il	Vvc	Il
me	Pp	JE
prescrit	Vvc	PRESCRIRE
la	Da	LE
terre	Nc	TERRE
,	Fw	,
et	Cc	ET
leur	Pp	LEUR
marque	Vvc	MARQUER
les	Da	LE
cieux	Nc	CIEL|CIEUX
,	Fw	,
Et	Vvc	Et
du	S+Da	DE+LE
bras	Nc	BRAS
qu'	Pr	QUE
il	Pp	IL
leur	Pp	LEUR
tend	Vvc	TENDRE
,	Fw	,
il	Pp	IL
me	Pp	JE
pousse	Vvc	POUSSER
en	S	EN
ces	Dd	CE
lieux	Nc	LIEU|LIEUX
.	Fs	.
Ses	Ds	SON
premières	Ag	PREMIER
amours	Nc	AMOUR
,	Fw	,
cette	Dd	CE
fille	Nc	FILLE
profane	Vvc	PROFANER
,	Fw	,
Que	Vvc	Que
dessous	S	DESSOUS
les	Da	LE
habits	Nc	HABIT|HABITS
,	Fw	,
et	Cc	ET
le	Da	LE
nom	Nc	NOM
de	S	DE
Diane	Nc	DIANE
,	Fw	,
(	Fw	(
Diane	Nc	DIANE
,	Fw	,
qui	Pr	QUI
préside	Vvc	PRÉSIDER
à	S	À
la	Da	LE
virginité	Nc	VIRGINITÉ
,	Fw	,
)	Fw	)
Ce	Vvc	Ce
traître	Ag	TRAÎTRE
dépouilla	Vvc	DÉPOUILLER
de	S	DE
cette	Dd	CE
qualité	Nc	QUALITÉ
,	Fw	,
N'	Vvc	N'
y	Pp	Y
règne-t-elle	Vvc	règne-t-elle
pas	Rg	PAS
sous	S	SOUS
la	Da	LE
forme	Nc	FORME
d'	S	DE
une	Dn	UN
Ourse	Nc	OURS|OURSE
,	Fw	,
Et	Vvc	Et
son	Ds	SON
mal	Nc	MAL
,	Fw	,
de	S	DE
son	Ds	SON
bien	Nc	BIEN
,	Fw	,
ne	Rp	NE
fut-il	V	fut-il
pas	Rg	PAS
la	Da	LE
source	Nc	SOURCE
;	Fw	;
Quel	Vvc	Quel
fruit	Nc	FRUIT
eut	Vuc	AVOIR
mon	Ds	MON
courroux	Nc	COURROUX
de	S	DE
transformer	Vvn	TRANSFORMER
son	Ds	SON
corps	Nc	CORPS
,	Fw	,
Elle	Vvc	Elle
occupe	Vvc	OCCUPER
le	Da	LE
ciel	Nc	CIEL
,	Fw	,
et	Cc	ET
m'	Pp	JE
en	Pp	EN
voici	S	VOICI
dehors	Nc	DEHORS
,	Fw	,
Ma	Vvc	Ma
vengeance	Nc	VENGEANCE
profite	Vvc	PROFITER
aux	S+Da	À+LES
objets	Nc	OBJET
de	S	DE
ma	Ds	MON
haine	Nc	HAINE
,	Fw	,
Et	Vvc	Et
j'	Pp	JE
établis	Vvc	ÉTABLIR
leur	Ds	LEUR
gloire	Nc	GLOIRE
,	Fw	,
en	S	EN
méditant	Ga	MÉDITER
leur	Ds	LEUR
peine	Nc	PEINE
.	Fs	.
Sur	S	SUR
ce	Dd	CE
trône	Nc	TRÔNE
éternel	Ag	ÉTERNEL
,	Fw	,
les	Da	LE
sept	Nc	SEPT
filles	Nc	FILLE
d'	S	DE
Atlas	Vvc	Atlas
,	Fw	,
À	Nc	À
ma	Ds	MON
confusion	Nc	CONFUSION
ne	Rp	NE
brillent	Vvc	BRILLER
-elles	Nc	-elles
pas	Rg	PAS
?	Fs	?
Des	S+Da	DE+LE|DE+LES
pudiques	Ag	PUDIQUE
,	Fw	,
la	Da	LE
gloire	Nc	GLOIRE
est	Vuc	ÊTRE
due	Ge	DEVOIR
aux	S+Da	À+LES
vicieuses	Nc	VICIEUX
,	Fw	,
Et	Vvc	Et
le	Da	LE
crime	Nc	CRIME
de	S	DE
trois	Nc	TROIS
,	Fw	,
en	Pp	EN
fit	Vvc	FAIRE
sept	Nc	SEPT
glorieuses	Ag	GLORIEUX
.	Fs	.
Vis	Vvc	VIVRE|VOIR
-je	Vvn	-je
pas	Rg	PAS
,	Fw	,
qu'	Cs	QUE
à	S	À
ma	Ds	MON
honte	Nc	HONTE
