Allons	Vvc	ALLER
,	Fw	,
maître	Nc	MAÎTRE
faquin	Nc	FAQUIN
,	Fw	,
dénichez	Vvc	DÉNICHER
promptement	Rg	PROMPTEMENT
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
ainsi	Rg	AINSI
que	Cs	QUE
l'	Pp	IL
on	Pp	ON
traite	Vvc	TRAITER
un	Dn	UN
méchant	Ag	MÉCHANT
garnement	Nc	GARNEMENT
,	Fw	,
Hors	Nc	Hors
d'	S	DE
ici	Rg	ICI
...	Fs	...
Modérez	Vvc	Modérez
cette	Dd	CE
brusque	Ag	BRUSQUE
colère	Nc	COLÈRE
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
que	Cs	QUE
votre	Ds	VOTRE
main	Nc	MAIN
soit	Vuc	ÊTRE
un	Dn	UN
peu	Rg	PEU
plus	Rg	PLUS
légère	Ag	LÉGER
,	Fw	,
Et	Vvc	Et
vous	Pp	VOUS
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
ayez	Vuc	AVOIR
plus	Rg	PLUS
de	S	DE
compassion	Nc	COMPASSION
,	Fw	,
Vous	Nc	Vous
pourriez	Vvc	POUVOIR
bien	Rg	BIEN
me	Pp	JE
faire	Vvn	FAIRE
une	Dn	UN
contusion	Nc	CONTUSION
,	Fw	,
Je	Vvc	Je
ne	Rp	NE
vis	Vvc	VIVRE|VOIR
de	S	DE
mes	Ds	MON
jours	Nc	JOUR|JOURS
femme	Nc	FEMME
plus	Rg	PLUS
violente	Ag	VIOLENT
,	Fw	,
Qui	Vvc	Qui
connaît	Vvc	CONNAÎTRE
mieux	Rg	MIEUX
que	Cs	QUE
moi	Pp	JE
votre	Ds	VOTRE
humeur	Nc	HUMEUR
turbulente	Ag	TURBULENT
?	Fs	?
Je	Pp	JE
ferais	Vvc	FAIRE|FERRER
beaucoup	Rg	BEAUCOUP
mieux	Rg	MIEUX
de	S	DE
te	Pp	TU
remercier	Vvn	REMERCIER
,	Fw	,
Et	Vvc	Et
te	Pp	TU
laisser	Vvn	LAISSER
gratis	Rg	GRATIS
vider	Vvn	VIDER
tout	Di	TOUT
mon	Ds	MON
cellier	Nc	CELLIER
,	Fw	,
Chez	Vvc	Chez
moi	Pp	JE
depuis	S	DEPUIS
trois	Nc	TROIS
mois	Nc	MOI|MOIS
tu	Pp	TU
prends	Vvc	PRENDRE
ta	Ds	TON
nourriture	Nc	NOURRITURE
,	Fw	,
J'	Vvc	J'
ai	Vuc	AVOIR
voulu	Ge	VOULOIR
te	Pp	TU
prêter	Vvn	PRÊTER
dix	Nc	DIX
écus	Nc	ÉCU|ÉCUS
sans	S	SANS
usure	Nc	USURE
,	Fw	,
Et	Vvc	Et
tu	Pp	TU
ne	Rp	NE
songes	Vvc	SONGER
pas	Rg	PAS
encore	Rg	ENCORE
à	S	À
t'	Pp	TU
acquitter	Vvn	ACQUITTER
,	Fw	,
Demain	Vvc	Demain
je	Pp	JE
prendrai	Vvc	PRENDRE
soin	Nc	SOIN
de	S	DE
te	Pp	TU
faire	Vvn	FAIRE
arrêter	Vvn	ARRÊTER
,	Fw	,
Une	Vvc	Une
obscure	Ag	OBSCUR
prison	Nc	PRISON
sera	Vuc	ÊTRE
ta	Ds	TON
récompense	Nc	RÉCOMPENSE
,	Fw	,
Si	Vvc	Si
par	S	PAR
le	Da	LE
paiement	Nc	PAIEMENT|PAYEMENT
tu	Pp	TU
n'	Rp	NE
obtiens	Vvc	OBTENIR
ta	Ds	TON
quittance	Nc	QUITTANCE
.	Fs	.
Vous	Pp	VOUS
voulez	Vvc	VOULOIR
en	S	EN
prison	Nc	PRISON
faire	Vvn	FAIRE
mettre	Vvn	METTRE
Arlequin	Nc	ARLEQUIN
,	Fw	,
Je	Vvc	Je
n'	Rp	NE
y	Pp	Y
resterai	Vvc	RESTER
pas	Rg	PAS
je	Pp	JE
suis	Vuc	ÊTRE
trop	Rg	TROP
libertin	Nc	LIBERTIN
.	Fs	.
Bon	Ag	BON
,	Fw	,
bon	Ag	BON
,	Fw	,
quand	Cs	QUAND
