Eh	I	EH
bien	Rg	BIEN
?	Fs	?
Moron	Nc	Moron
,	Fw	,
que	Pr	QUE
dis	Vvc	DIRE
-tu	Vvn	-tu
de	S	DE
notre	Ds	NOTRE
aventure	Nc	AVENTURE
?	Fs	?
Je	Pp	JE
dis	Vvc	DIRE
,	Fw	,
Monseigneur	Nc	MONSEIGNEUR
,	Fw	,
que	Cs	QUE
j'	Pp	JE
admire	Vvc	ADMIRER
votre	Ds	VOTRE
sang-froid	Nc	SANG-FROID
,	Fw	,
votre	Ds	VOTRE
présence	Nc	PRÉSENCE
d'	S	DE
esprit	Nc	ESPRIT
,	Fw	,
et	Cc	ET
surtout	Rg	SURTOUT
votre	Ds	VOTRE
courages	Nc	COURAGE
.	Fs	.
Vous	Pp	VOUS
ne	Rp	NE
démentez	Vvc	DÉMENTIR
point	Rg	POINT
la	Da	LE
race	Nc	RACE
auguste	Ag	AUGUSTE
dont	Pr	DONT
vous	Pp	VOUS
descendez	Vvc	DESCENDRE
.	Fs	.
Laisse	Vvc	LAISSER
là	Rg	LÀ
mon	Ds	MON
courage	Nc	COURAGE
et	Cc	ET
ma	Ds	MON
race	Nc	RACE
auguste	Ag	AUGUSTE
,	Fw	,
et	Cc	ET
réponds	Vvc	RÉPONDRE
-moi	Vvc	-moi
:	Fw	:
ou	Cc	OU
étals	Nc	ÉTAL
-tu	Vvc	-tu
quand	Cs	QUAND
je	Pp	JE
me	Pp	JE
défendais	Vvc	DÉFENDRE
contre	S	CONTRE
ces	Dd	CE
trois	Nc	TROIS
hommes	Nc	HOMME
?	Fs	?
Ma	Ds	MON
foi	Nc	FOI
,	Fw	,
Monseigneur	Nc	MONSEIGNEUR
,	Fw	,
comme	Cs	COMME
je	Pp	JE
n'	Rp	NE
ai	Vuc	AVOIR
point	Rg	POINT
eu	Ge	AVOIR
des	S+Da	DE+LE|DE+LES
Héros	Nc	Héros
pour	S	POUR
aïeux	Nc	AÏEUL
,	Fw	,
et	Cc	ET
que	Cs	QUE
mon	Ds	MON
métier	Nc	MÉTIER
n'	Rp	NE
est	Vuc	ÊTRE
point	Rg	POINT
celui	Pd	CELUI
des	S+Da	DE+LE|DE+LES
armes	Nc	ARME|ARMÉ
,	Fw	,
ne	Rp	NE
pouvant	Ga	POUVOIR
pas	Rg	PAS
être	Vun	ÊTRE
acteur	Ag	ACTEUR
dans	S	DANS
le	Da	LE
combat	Nc	COMBAT
,	Fw	,
je	Pp	JE
me	Pp	JE
suis	Vuc	ÊTRE
caché	Ge	CACHER
derrière	S	DERRIÈRE
une	Dn	UN
haie	Nc	HAIE
,	Fw	,
d'	S	DE
où	Pr	OÙ
j'	Pp	JE
ai	Vuc	AVOIR
été	Ge	ÊTRE
spectateur	Nc	SPECTATEUR
tout	Rg	TOUT
à	S	À
mon	Ds	MON
aise	Nc	AISE
.	Fs	.
Me	Pp	JE
laisser	Vvn	LAISSER
seul	Ag	SEUL
contre	S	CONTRE
trois	Nc	TROIS
!	Fs	!
Et	Cc	ET
si	Cs	SI
j'	Pp	JE
avais	Vuc	AVOIR
succombé	Ge	SUCCOMBER
?	Fs	?
...	Fs	...
Oh	Nc	Oh
!	Fs	!
Je	Pp	JE
vous	Pp	VOUS
connais	Vvc	CONNAÎTRE
;	Fw	;
je	Pp	JE
savais	Vvc	SAVOIR
bien	Rg	BIEN
que	Cs	QUE
vous	Pp	VOUS
vous	Pp	VOUS
en	Pp	EN
tireriez	Vvc	TIRER
avec	S	AVEC
gloire	Nc	GLOIRE
.	Fs	.
Dans	S	DANS
tout	Di	TOUT
autre	Ag	AUTRE
cas	Nc	CAS
,	Fw	,
vous	Pp	VOUS
auriez	Vuc	AVOIR
vu	Ge	VOIR
si	Rg	SI
Moron	Nc	Moron
est	Vuc	ÊTRE
un	Dn	UN
brave	Ag	BRAVE
homme	Nc	HOMME
.	Fs	.
C'est-à-dire	Nc	C'est-à-dire
que	Pr	QUE
tu	Pp	TU
serais	Vuc	ÊTRE
venu	Ge	VENIR
à	S	À
mon	Ds	MON
secours	Nc	SECOURS
,	Fw	,
si	Cs	SI
les	Da	LE
voleurs	Nc	VOLEUR
avaient	Vuc	AVOIR
été	Ge	ÊTRE
en	S	EN
plus	Rg	PLUS
grand	Ag	GRAND
nombre	Nc	NOMBRE
.	Fs	.
N'	Rp	NE
en	Pp	EN
doutez	Vvc	DOUTER
pas	Rg	PAS
;	Fw	;
j'	Pp	JE
aurais	Vuc	AVOIR
fait	Ge	FAIRE
alors	Rg	ALORS
des	Dn	UN
prodiges	Nc	PRODIGE
,	Fw	,
mais	Cc	MAIS
vous	Pp	VOUS
n'	Rp	NE
aviez	Vuc	AVOIR
pas	Rg	PAS
besoin	Nc	BESOIN
de	S	DE
moi	Pp	JE
;	Fw	;
un	Dn	UN
bras	Nc	BRAS
comme	S	COMME
le	Da	LE
vôtre	As#Ps	VÔTRE
est	Vuc	ÊTRE
bien	Rg	BIEN
assuré	Ge	ASSURER
du	S+Da	DE+LE
triomphe	Nc	TRIOMPHE
.	Fs	.
Convenez	Vvc	CONVENIR
cependant	Rg	CEPENDANT
,	Fw	,
malgré	S	MALGRÉ
,	Fw	,
l'	Da	LE
honneur	Nc	HONNEUR
qui	Pr	QUI
doit	Vvc	DEVOIR
vous	Pp	VOUS
revenir	Vvn	REVENIR
de	S	DE
cette	Dd	CE
victoire	Nc	VICTOIRE
,	Fw	,
convenez	Vvc	CONVENIR
Monseigneur	Nc	MONSEIGNEUR
,	Fw	,
que	Cs	QUE
de	S	DE
pareilles	Nc	PAREIL|PAREILLE
rencontres	Nc	RENCONTRE
sont	Vuc	ÊTRE
bien	Rg	BIEN
désagréables	Ag	DÉSAGRÉABLE
.	Fs	.
Mais	Cc	MAIS
non	Rg	NON
.	Fs	.
Si	Cs	SI
notre	Ds	NOTRE
postillon	Nc	POSTILLON
n'	Rp	NE
avait	Vuc	AVOIR
pas	Rg	PAS
été	Ge	ÊTRE
tué	Ge	TUER
,	Fw	,
celle	Pd	CELUI
-ci	Vvc	-ci
ne	Rp	NE
m'	Pp	JE
eut	Vuc	AVOIR
point	Rg	POINT
paru	Ge	PARAÎTRE
telle	Ag	TEL
.	Fs	.
Jamais	Rg	JAMAIS
je	Pp	JE
n'	Rp	NE
avais	Vuc	AVOIR
vu	Ge	VOIR
de	S	DE
Voleurs	Nc	VOLEUR
,	Fw	,
et	Cc	ET
je	Pp	JE
ne	Rp	NE
suis	Vuc	ÊTRE
pas	Rg	PAS
absolument	Rg	ABSOLUMENT
fâché	Ge	FÂCHER
de	S	DE
savoir	Vvn	SAVOIR
comment	Rt	COMMENT
sont	Vuc	ÊTRE
faits	Ge	FAIRE
ces	Dd	CE
messieurs	Nc	MONSIEUR
.	Fs	.
Quoique	Cs	QUOIQUE
vous	Pp	VOUS
en	Pp	EN
disiez	Vvc	DIRE
,	Fw	,
Monseigneur	Nc	MONSEIGNEUR
,	Fw	,
ce	Pd	CE
sont	Vuc	ÊTRE
de	Dn	UN
vilaines	Ag	VILAIN
connaissances	Nc	CONNAISSANCE
à	S	À
faire	Vvn	FAIRE
.	Fs	.
Conviens	Vvc	CONVENIR
,	Fw	,
Moron	Nc	Moron
,	Fw	,
que	Cs	QUE
nous	Pp	NOUS
en	Pp	EN
avons	Vuc	AVOIR
fait	Ge	FAIRE
qui	Pr	QUI
ne	Rp	NE
le	Pp	IL
font	Vvc	FAIRE
guère	Rg	GUÈRE
moins	Rg	MOINS
,	Fw	,
en	S	EN
venant	Ga	VENIR
jusqu'	S	JUSQUE
ici	Rg	ICI
par	S	PAR
cette	Dd	CE
maudite	Ge	MAUDIRE
diligence	Nc	DILIGENCE
.	Fs	.
Vit	Vvc	VIVRE|VOIR
-on	Nc	-on
jamais	Rg	JAMAIS
des	Dn	UN
personnages	Nc	PERSONNAGE
plus	Rg	PLUS
extravagants	Ag	EXTRAVAGANT
,	Fw	,
plus	Rg	PLUS
tristes	Ag	TRISTE
,	Fw	,
et	Cc	ET
surtout	Rg	SURTOUT
plus	Rg	PLUS
impertinents	Ag	IMPERTINENT
que	Cs	QUE
nos	Ds	NOTRE
compagnons	Nc	COMPAGNON
de	S	DE
voyage	Nc	VOYAGE
?	Fs	?
Je	Pp	JE
conviens	Vvc	CONVENIR
qu'	Cs	QUE
ils	Pp	ILS
ne	Rp	NE
font	Vvc	FAIRE
pas	Rg	PAS
aimables	Ag	AIMABLE
.	Fs	.
À	Vvc	À
peine	Nc	PEINE
nous	Pp	NOUS
ont	Vuc	AVOIR
-ils	Ge	-ils
regardés	Ge	REGARDER
,	Fw	,
quand	Cs	QUAND
nous	Pp	NOUS
sommes	Vuc	ÊTRE
montés	Ge	MONTER
dans	S	DANS
la	Da	LE
voiture	Nc	VOITURE
:	Fw	:
je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
même	Rg	MÊME
que	Cs	QUE
l'	Da	LE
un	Di	UN
deux	Nc	DEUX
ne	Rp	NE
m'	Pp	JE
a	Vuc	AVOIR
pas	Rg	PAS
rendu	Ge	RENDRE
le	Da	LE
salut	Nc	SALUT
.	Fs	.
J'	Pp	JE
ai	Vuc	AVOIR
fait	Ge	FAIRE
quelques	Di	QUELQUE
questions	Nc	QUESTION
à	S	À
mon	Ds	MON
voisin	Nc	VOISIN
,	Fw	,
qui	Pr	QUI
m'	Pp	JE
a	Vuc	AVOIR
répondu	Ge	RÉPONDRE
d'	S	DE
un	Dn	UN
air	Nc	AIR
de	S	DE
protection	Nc	PROTECTION
tout-à-fait	Nc	tout-à-fait
risible	Ag	RISIBLE
.	Fs	.
Veulent	Vvc	VOULOIR
-ils	Vvc	-ils
se	Pp	IL
faire	Vvn	FAIRE
passer	Vvn	PASSER
pour	S	POUR
de	Dn	UN
grands	Ag	GRAND
Seigneurs	Nc	SEIGNEUR
?	Fs	?
Où	Vvc	Où
le	Da	LE
sont-il	Nc	sont-il
en	S	EN
effet	Nc	EFFET
?	Fs	?
Eux	Pp	EUX
de	S	DE
grands	Ag	GRAND
Seigneurs	Nc	SEIGNEUR
?	Fs	?
Ah	I	AH
!	Fs	!
Ne	Rp	NE
le	Pp	IL
croyez	Vvc	CROIRE
pas	Rg	PAS
?	Fs	?
Il	Pp	IL
n'	Rp	NE
est	Vuc	ÊTRE
pas	Rg	PAS
d'	S	DE
usage	Nc	USAGE
en	S	EN
France	Nc	France
que	Cs	QUE
de	Dn	UN
grands	Ag	GRAND
Seigneurs	Nc	SEIGNEUR
voyagent	Vvc	VOYAGER
ainsi	Rg	AINSI
par	S	PAR
la	Da	LE
diligence	Nc	DILIGENCE
de	S	DE
Lyon	Nc	Lyon
.	Fs	.
Et	Cc	ET
puis	Cs	PUIS
vous	Pp	VOUS
vous	Pp	VOUS
rappelez	Vvc	RAPPELER
bien	Rg	BIEN
cet	Dd	CE
homme	Nc	HOMME
court	Ag	COURT
et	Cc	ET
gros	Ag	GROS
avec	S	AVEC
une	Dn	UN
perruque	Nc	PERRUQUE
ronde	Ag	ROND
,	Fw	,
un	Dn	UN
vieux	Ag	VIEUX
habit	Nc	HABIT
d'	S	DE
écarlate	Ag	ÉCARLATE
galonné	Nc	GALONNÉ
,	Fw	,
une	Dn	UN
canne	Nc	CANNE
à	S	À
pomme	Nc	POMME
d'	S	DE
or	Nc	OR
à	S	À
la	Da	LE
main	Nc	MAIN
.	Fs	.
Celui	Pd	CELUI
qui	Pr	QUI
n'	Rp	NE
a	Vuc	AVOIR
fait	Ge	FAIRE
que	Rg	QUE
parler	Vvn	PARLER
du	S+Da	DE+LE
Comte	Nc	COMTE|COMTÉ
de	S	DE
Celicouf	Nc	Celicouf
son	Ds	SON
ami	Nc	AMI
?	Fs	?
Justement	Rg	JUSTEMENT
.	Fs	.
J'	Pp	JE
ai	Vuc	AVOIR
servi	Ge	SERVIR
le	Da	LE
Comte	Nc	COMTE|COMTÉ
il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
plusieurs	Di	PLUSIEURS
années	Nc	ANNÉE
,	Fw	,
en	S	EN
qualité	Nc	QUALITÉ
de	S	DE
valet	Nc	VALET
de	S	DE
chambre	Nc	CHAMBRE
.	Fs	.
Je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
me	Pp	JE
souvenir	Vvn	SOUVENIR
que	Cs	QUE
l'	Da	LE
homme	Nc	HOMME
gros	Ag	GROS
et	Cc	ET
court	Ag	COURT
qui	Pr	QUI
se	Pp	IL
dit	Vvc	DIRE
son	Ds	SON
ami	Nc	AMI
n'	Rp	NE
était	Vuc	ÊTRE
que	Rg	QUE
son	Ds	SON
tailleur	Nc	TAILLEUR
.	Fs	.
Tu	Pp	TU
veux	Vvc	VOULOIR
rire	Vvn	RIRE
,	Fw	,
Moron	Nc	Moron
.	Fs	.
Non	Rg	NON
vraiment	Rg	VRAIMENT
,	Fw	,
Monseigneur	Nc	MONSEIGNEUR
.	Fs	.
Je	Pp	JE
ne	Rp	NE
l'	Pp	IL
ai	Vuc	AVOIR
pas	Rg	PAS
reconnu	Ge	RECONNAÎTRE
bien	Rg	BIEN
positivement	Rg	POSITIVEMENT
;	Fw	;
les	Da	LE
physionomies	Nc	PHYSIONOMIE
changent	Vvc	CHANGER
avec	S	AVEC
l'	Da	LE
âge	Nc	ÂGE
:	Fw	:
il	Pp	IL
me	Pp	JE
semble	Vvc	SEMBLER
bien	Rg	BIEN
cependant	Rg	CEPENDANT
que	Cs	QUE
cette	Dd	CE
figure	Nc	FIGURE|FIGURÉ
