Ah	I	AH
,	Fw	,
vous	Pp	VOUS
voilà	S	VOILÀ
donc	Rg	DONC
à	S	À
la	Da	LE
fin	Nc	FIN
!	Fs	!
Bonjour	I	BONJOUR
,	Fw	,
Monsieur	Nc	MONSIEUR
de	S	DE
la	Da	LE
Brie	Nc	BRIE
.	Fs	.
Bonjour	I	BONJOUR
,	Fw	,
cousine	Nc	COUSIN
:	Fw	:
que	Cs	QUE
me	Pp	JE
veut	Vvc	VOULOIR
ta	Ds	TON
Maîtresse	Nc	Maîtresse
?	Fs	?
On	Pp	ON
m'	Pp	JE
a	Vuc	AVOIR
dit	Ge	DIRE
à	S	À
l'	Da	LE
auberge	Nc	AUBERGE
qu'	Pr	QUE
elle	Pp	IL
avait	Vuc	AVOIR
envoyé	Ge	ENVOYER
me	Pp	JE
chercher	Vvn	CHERCHER
.	Fs	.
La	Da	LE
besogne	Nc	BESOGNE
donne-t-elle	Ag	donne-t-elle
?	Fs	?
Car	Cc	CAR
,	Fw	,
elle	Pp	IL
ne	Rp	NE
m'	Pp	JE
emploie	Vvc	EMPLOYER
que	Rg	QUE
lorsqu'	Cs	LORSQUE
il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
ici	Rg	ICI
des	Dn	UN
affaires	Nc	AFFAIRE|AFFAIRÉ
à	S	À
tout	Pi	TOUT
rompre	Vvn	ROMPRE
.	Fs	.
Les	Da	LE
grands	Ag	GRAND
génies	Nc	GÉNIE
ne	Rp	NE
se	Pp	IL
mettent	Vvc	METTRE
pas	Rg	PAS
à	S	À
tous	Di	TOUT
les	Da	LE
jours	Nc	JOUR|JOURS
.	Fs	.
Écoute	Nc	Écoute
,	Fw	,
ne	Rp	NE
pense	Vvc	PENSER
pas	Rg	PAS
rire	Vvn	RIRE
,	Fw	,
tout	Di	TOUT
homme	Nc	HOMME
qui	Pr	QUI
travaille	Vvc	TRAVAILLER
pour	S	POUR
Madame	Nc	MADAME
Thibaut	Vvc	Thibaut
,	Fw	,
ne	Rp	NE
doit	Vvc	DEVOIR
pas	Rg	PAS
être	Vun	ÊTRE
un	Dn	UN
sot	Nc	SOT
.	Fs	.
Malepeste	Vvc	Malepeste
!	Fs	!
Il	Pp	IL
se	Pp	IL
fait	Vvc	FAIRE
ici	Rg	ICI
les	Da	LE
plus	Rg	PLUS
belles	Ag	BEAU
affaires	Nc	AFFAIRE|AFFAIRÉ
de	S	DE
Paris	Nc	PARI
:	Fw	:
voulez	Vvc	VOULOIR
-vous	Nc	-vous
des	S+Da	DE+LE|DE+LES
Charges	Nc	CHARGE|CHARGÉ
,	Fw	,
des	S+Da	DE+LE|DE+LES
Offices	Nc	OFFICE|OFFICES
,	Fw	,
des	S+Da	DE+LE|DE+LES
Emplois	Vvc	Emplois
?	Fs	?
On	Pp	ON
vous	Pp	VOUS
en	Pp	EN
fera	Vvc	FAIRE|FERRER
voir	Vvn	VOIR
de	S	DE
tous	Di	TOUT
les	Da	LE
échantillons	Nc	ÉCHANTILLON
.	Fs	.
Êtes	Vvc	Êtes
-vous	Nc	-vous
dans	S	DANS
le	Da	LE
goût	Nc	GOÛT
de	S	DE
vous	Pp	VOUS
marier	Vvn	MARIER
?	Fs	?
On	Pp	ON
vous	Pp	VOUS
y	Pp	Y
fournira	Vvc	FOURNIR
des	Dn	UN
femmes	Nc	FEMME
de	S	DE
toutes	Di	TOUT
tailles	Nc	TAILLE
,	Fw	,
de	S	DE
tous	Di	TOUT
âges	Nc	ÂGE
;	Fw	;
et	Cc	ET
si	Cs	SI
vous	Pp	VOUS
plaidez	Vvc	PLAIDER
,	Fw	,
vous	Pp	VOUS
y	Pp	Y
trouverez	Vvc	TROUVER
des	Dn	UN
Solliciteuses	Nc	SOLLICITEUR
depuis	S	DEPUIS
une	Dn	UN
pistole	Nc	PISTOLE
jusqu'	S	JUSQUE
à	S	À
trente	Nc	TRENTE
:	Fw	:
voilà	S	VOILÀ
ce	Pd	CE
qu'	Pr	QUE
on	Pp	ON
appelle	Vvc	APPELER
une	Dn	UN
bonne	Ag	BON
boutique	Nc	BOUTIQUE
;	Fw	;
il	Pp	IL
n'	Rp	NE
y	Pp	Y
a	Vuc	AVOIR
point	Rg	POINT
ici	Rg	ICI
de	S	DE
nenni	Rg	NENNI
.	Fs	.
Mais	Cc	MAIS
,	Fw	,
mon	Ds	MON
zèle	Nc	ZÈLE
l'	Pp	IL
emporte	Vvc	EMPORTER
sur	S	SUR
la	Da	LE
curiosité	Nc	CURIOSITÉ
:	Fw	:
dis	Vvc	DIRE
-moi	Vvc	-moi
donc	Rg	DONC
,	Fw	,
qui	Pr	QUI
y	Pp	Y
a-t-il	V	AVOIR
de	S	DE
nouveau	Ag	NOUVEAU
.	Fs	.
Bien	Rg	BIEN
des	Dn	UN
affaires	Nc	AFFAIRE|AFFAIRÉ
,	Fw	,
ma	Ds	MON
foi	Nc	FOI
.	Fs	.
Et	Cc	ET
dis	Vvc	DIRE
-moi	Vvc	-moi
donc	Rg	DONC
vite	Rg	VITE
.	Fs	.
Elle	Pp	IL
se	Pp	IL
marie	Vvc	MARIER
.	Fs	.
Elle	Pp	IL
se	Pp	IL
marie	Vvc	MARIER
!	Fs	!
Et	Cc	ET
contre	S	CONTRE
qui	Pr	QUI
?	Fs	?
Contre	S	CONTRE
un	Dn	UN
homme	Nc	HOMME
qui	Pr	QUI
aura	Vuc	AVOIR
un	Dn	UN
jour	Nc	JOUR
plus	Rg	PLUS
de	S	DE
vingt-cinq	Ag	vingt-cinq
mille	Nc	MILLE
livres	Nc	LIURE|LIVRE
de	S	DE
rentes	Nc	RENTE
.	Fs	.
Il	Pp	IL
s'	Pp	SE
appelle	Vvc	APPELER
Cléante	Ag	Cléante
:	Fw	:
il	Pp	IL
est	Vuc	ÊTRE
Capitaine	Ag	Capitaine
d'	S	DE
Infanterie	Nc	INFANTERIE
