Certes	Rg	CERTES
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
renchérir	Nc	RENCHÉRIR
dessus	S	DESSUS
les	Da	LE
plus	Rg	PLUS
galants	Ag	GALANT
,	Fw	,
Cette	Vvc	Cette
confusion	Nc	CONFUSION
de	S	DE
noeuds	Nc	NUD
et	Cc	ET
de	S	DE
rubans	Nc	RUBAN
,	Fw	,
Ne	Vvc	Ne
témoignent	Vvc	TÉMOIGNER
que	Rg	QUE
trop	Rg	TROP
ce	Pd	CE
dont	Pr	DONT
aucun	Pi	AUCUN
ne	Rp	NE
doute	Vvc	DOUTER
Qu'	Vvc	Qu'
un	Dn	UN
amant	Nc	AMANT
est	Vuc	ÊTRE
prodigue	Ge	PRODIGUER
,	Fw	,
et	Cc	ET
que	Cs	QUE
rien	Pi	RIEN
ne	Rp	NE
lui	Pp	IL
coûte	Vvc	COÛTER
.	Fs	.
Vous	Pp	VOUS
me	Pp	JE
raillez	Vvc	RAILLER
toujours	Rg	TOUJOURS
...	Fs	...
Que	Vvc	Que
vos	Ds	VOTRE
gants	Nc	GANT|GANTS
sentent	Vvc	SENTIR
bon	Ag	BON
!	Fs	!
Est	Vuc	ÊTRE
-ce	Vvc	-ce
de	S	DE
Martial	Nc	Martial
ou	Pr	OÙ
Frangipane	Vvc	Frangipane
?	Fs	?
Non	Rg	NON
,	Fw	,
Ce	Vvc	Ce
sont	Vuc	ÊTRE
des	Dn	UN
peaux	Nc	PEAU
d'	S	DE
Espagne	Nc	Espagne
.	Fs	.
Elles	Pp	ILS
en	Pp	EN
sont	Vuc	ÊTRE
plus	Rg	PLUS
chères	Ag	CHER
.	Fs	.
L'	Da	LE
ambassadeur	Nc	AMBASSADEUR
pourtant	Rg	POURTANT
m'	Pp	JE
en	Pp	EN
donna	Vvc	DONNER
deux	Nc	DEUX
cents	Nc	CENT
paires	Nc	PAIRE
.	Fs	.
Dans	S	DANS
Rome	Nc	Rome
?	Fs	?
Point	Rg	POINT
du	S+Da	DE+LE
tout	Pi	TOUT
.	Fs	.
Où	Vvc	Où
donc	Rg	DONC
?	Fs	?
Dedans	Rg	DEDANS
Paris	Vvc	Paris
.	Fs	.
Ne	Rp	NE
vous	Pp	VOUS
étonnez	Vvc	ÉTONNER
pas	Rg	PAS
cher	Ag	CHER
ami	Nc	AMI
si	Cs	SI
je	Pp	JE
ris	Vvc	RIRE
,	Fw	,
Était	Nc	Était
-ce	Vvc	-ce
depuis	S	DEPUIS
peu	Rg	PEU
?	Fs	?
La	Da	LE
semaine	Nc	SEMAINE
passée	Ge	PASSER
.	Fs	.
Votre	Ds	VOTRE
langue	Nc	LANGUE
à	S	À
ce	Dd	CE
coup	Nc	COUP
précède	Vvc	PRÉCÉDER
la	Da	LE
pensée	Nc	PENSÉE
,	Fw	,
Et	Vvc	Et
vous	Pp	VOUS
n'	Rp	NE
y	Pp	Y
songiez	Vvc	SONGER
pas	Rg	PAS
en	S	EN
me	Pp	JE
parlant	Ga	PARLER
ainsi	Rg	AINSI
.	Fs	.
Pourquoi	Rt	POURQUOI
?	Fs	?
D'	S	DE
ambassadeur	Nc	AMBASSADEUR
il	Pp	IL
n'	Rp	NE
en	Pp	EN
vient	Vvc	VENIR
point	Rg	POINT
ici	Rg	ICI
,	Fw	,
Et	Vvc	Et
l'	Da	LE
Espagne	Nc	Espagne
,	Fw	,
Ah	Vvc	Ah
!	Fs	!
Voyez	Vvc	VOIR
à	S	À
quoi	Pr	QUE|QUOI
je	Pp	JE
me	Pp	JE
hasarde	Vvc	HASARDER
,	Fw	,
J'	Vvc	J'
en	Pp	EN
aurais	Vuc	AVOIR
dit	Ge	DIRE
autant	Rg	AUTANT
.	Fs	.
Au	S+Da	À+LE
moins	Nc	MOINS
prenez	Vvc	PRENDRE
y	Pp	Y
garde	Nc	GARDE
,	Fw	,
Il	Vvc	Il
fait	Ge	FAIRE
bon	Ag	BON
d'	S	DE
en	Pp	EN
donner	Vvn	DONNER
,	Fw	,
mais	Cc	MAIS
c'	Pd	CE
est	Vuc	ÊTRE
un	Dn	UN
grand	Ag	GRAND
malheur	Nc	MALHEUR
Quelque	Vvc	Quelque
habile	Ag	HABILE
qu'	Cs	QUE
on	Pp	ON
soit	Vuc	ÊTRE
de	S	DE
passer	Vvn	PASSER
pour	S	POUR
hâbleur	Nc	HÂBLEUR
,	Fw	,
Si	Vvc	Si
lorsqu'	Cs	LORSQUE
on	Pp	ON
s'	Pp	SE
introduit	Vvc	INTRODUIRE
dedans	Rg	DEDANS
les	Da	LE
compagnies	Nc	COMPAGNIE
,	Fw	,
On	Vvc	On
ne	Rp	NE
concerte	Vvc	CONCERTER
bien	Rg	BIEN
toutes	Di	TOUT
ses	Ds	SON
menteries	Nc	MENTERIE
,	Fw	,
Et	Vvc	Et
si	Cs	SI
l'	Pp	IL
on	Pp	ON
n'	Rp	NE
a	Vuc	AVOIR
l'	Da	LE
esprit	Nc	ESPRIT
de	S	DE
les	Pp	ILS
faire	Vvn	FAIRE
avouer	Vvn	AVOUER
,	Fw	,
Ce	Vvc	Ce
n'	Rp	NE
est	Vuc	ÊTRE
qu'	Rg	QUE
un	Dn	UN
beau	Ag	BEAU
talent	Nc	TALENT
pour	S	POUR
se	Pp	IL
faire	Vvn	FAIRE
jouer	Vvn	JOUER
.	Fs	.
Pour	S	POUR
moi	Pp	JE
qui	Pr	QUI
comme	S	COMME
vous	Pp	VOUS
en	S	EN
revenant	Ga	REVENIR
de	S	DE
Rome	Nc	Rome
,	Fw	,
Partout	Vvc	Partout
où	Pr	OÙ
je	Pp	JE
pouvais	Vvc	POUVOIR
en	Pp	EN
donnais	Vvc	DONNER
en	S	EN
jeune	Ag	JEUNE
homme	Nc	HOMME
,	Fw	,
Et	Vvc	Et
voulais	Vvc	VOULOIR
tout	Rg	TOUT
risquer	Vvn	RISQUER
pour	S	POUR
faire	Vvn	FAIRE
le	Da	LE
plaisant	Nc	PLAISANT
,	Fw	,
Je	Vvc	Je
reconnais	Vvc	RECONNAÎTRE
fort	Rg	FORT
bien	Rg	BIEN
mes	Ds	MON
faibles	Nc	FAIBLE
à	S	À
présent	Nc	PRÉSENT
:	Fw	:
Et	Cc	ET
puis	Vvc	POUVOIR
en	S	EN
me	Pp	JE
voyant	Ga	VOIR
dans	S	DANS
un	Dn	UN
autre	Pi	AUTRE
moi-même	Pp	LUI-MÊME
Vous	Vvc	Vous
tirer	Vvn	TIRER
aujourd'hui	Rg	AUJOURD'HUI
d'	S	DE
un	Dn	UN
embarras	Nc	EMBARRA|EMBARRAS
extrême	Ag	EXTRÊME
.	Fs	.
Mais	Cc	MAIS
quoi	Pt	QUE|QUOI
!	Fs	!
Vous	Pp	VOUS
me	Pp	JE
disiez	Vvc	DIRE
qu'	Cs	QUE
on	Pp	ON
peut	Vvc	POUVOIR
parfois	Rg	PARFOIS
mentir	Vvn	MENTIR
.	Fs	.
Oui	Rg	OUI
,	Fw	,
mais	Cc	MAIS
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
avoir	Vun	AVOIR
l'	Da	LE
adresse	Nc	ADRESSE
d'	S	DE
en	Pp	EN
sortir	Vvn	SORTIR
.	Fs	.
Combien	Rg	COMBIEN
un	Dn	UN
honnête	Ag	HONNÊTE
homme	Nc	HOMME
