Quoi	Pt	QUE|QUOI
!	Fs	!
Lorsque	Cs	LORSQUE
nous	Pp	NOUS
touchons	Vvc	TOUCHER
à	S	À
l'	Da	LE
illustre	Ag	ILLUSTRE
journée	Nc	JOURNÉE
,	Fw	,
Qui	Vvc	Qui
va	Vvc	ALLER
de	S	DE
Calydon	Nc	Calydon
régler	Vvn	RÉGLER
la	Da	LE
destinée	Nc	DESTINÉE
,	Fw	,
Et	Vvc	Et
rendre	Vvn	RENDRE
pour	S	POUR
jamais	Rg	JAMAIS
à	S	À
nos	Ds	NOTRE
peuples	Nc	PEUPLE
contents	Ag	CONTENT
,	Fw	,
Un	Vvc	Un
repos	Nc	REPOS
que	Cs	QUE
le	Da	LE
monstre	Nc	MONSTRE
a	Vuc	AVOIR
troublé	Ge	TROUBLER
si	Rg	SI
longtemps	Rg	LONGTEMPS
;	Fw	;
Ce	Vvc	Ce
spectacle	Nc	SPECTACLE
nouveau	Ag	NOUVEAU
n'	Rp	NE
a	Vuc	AVOIR
rien	Pi	RIEN
qui	Pr	QUI
vous	Pp	VOUS
attire	Vvc	ATTIRER
,	Fw	,
Et	Vvc	Et
l'	Da	LE
on	Pp	ON
n'	Rp	NE
y	Pp	Y
verra	Vvc	VOIR
point	Rg	POINT
la	Da	LE
seule	Ag	SEUL
Dejanire	Nc	Dejanire
.	Fs	.
La	Da	LE
Reine	Ag	Reine
jusques	Nc	jusques
-là	Vvc	-là
n'	Rp	NE
a	Vuc	AVOIR
point	Rg	POINT
porté	Ge	PORTER
ses	Ds	SON
pas	Nc	PAS
:	Fw	:
J'	Pp	JE
ai	Vuc	AVOIR
beaucoup	Rg	BEAUCOUP
de	S	DE
raisons	Nc	RAISON
pour	S	POUR
ne	Rp	NE
la	Pp	IL
quitter	Vvn	QUITTER
pas	Rg	PAS
;	Fw	;
La	Vvc	La
frayeur	Nc	FRAYEUR
qui	Pr	QUI
m'	Pp	JE
agite	Vvc	AGITER
est	Vuc	ÊTRE
égale	Vvc	ÉGALER
à	S	À
la	Da	LE
sienne	Ps	SIEN
:	Fw	:
Elle	Pp	IL
est	Vuc	ÊTRE
au	S+Da	À+LE
Temple	Nc	TEMPLE
:	Fw	:
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
attendre	Vvn	ATTENDRE
qu'	Cs	QUE
elle	Pp	IL
vienne	Vvc	VENIR
.	Fs	.
Ainsi	Rg	AINSI
lors	Rg	LORS
qu'	Cs	QUE
à	S	À
nos	Ds	NOTRE
voeux	Nc	VU
tout	Pi	TOUT
semble	Vvc	SEMBLER
conspirer	Vvn	CONSPIRER
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
votre	Ds	VOTRE
coeur	Nc	CUR
ne	Rp	NE
se	Pp	IL
peut	Vvc	POUVOIR
rassurer	Vvn	RASSURER
.	Fs	.
Ne	Rp	NE
vous	Pp	VOUS
souvient-il	Vvc	souvient-il
plus	Rg	PLUS
que	Cs	QUE
la	Da	LE
fière	Ag	FIER
Athalante	Nc	Athalante
,	Fw	,
Abandonnant	Ga	ABANDONNER
pour	S	POUR
nous	Pp	NOUS
le	Da	LE
séjour	Nc	SÉJOUR
d'	S	DE
Erimante	Ga	Erimante
,	Fw	,
Entre	Vvc	ENTRER
tant	Rg	TANT
de	S	DE
héros	Nc	HÉROS
,	Fw	,
charmez	Vvc	CHARMER
de	S	DE
fa	Nc	FA
valeur	Nc	VALEUR
,	Fw	,
A	Vvc	A
promis	Ge	PROMETTRE
sa	Ds	SON
Couronne	Nc	COURONNE
et	Cc	ET
sa	Ds	SON
main	Nc	MAIN
au	S+Da	À+LE
vainqueur	Nc	VAINQUEUR
?	Fs	?
Et	Cc	ET
que	Cs	QUE
pour	S	POUR
l'	Pp	IL
acquérir	Vvn	ACQUÉRIR
toute	Di	TOUT
la	Da	LE
Grèce	Nc	Grèce
en	S	EN
armes	Nc	ARME|ARMÉ
,	Fw	,
Se	Vvc	Se
prépare	Vvc	PRÉPARER
à	S	À
finir	Vvn	FINIR
vos	Ds	VOTRE
mortelles	Ag	MORTEL
alarmes	Nc	ALARME
?	Fs	?
Le	Pp	IL
Ciel	Vvc	Ciel
même	Rg	MÊME
,	Fw	,
le	Pp	IL
Ciel	Vvc	Ciel
irrité	Ge	IRRITER
contre	S	CONTRE
nous	Pp	NOUS
,	Fw	,
Se	Vvc	Se
lasse	Ag	LAS
après	S	APRÈS
un	Dn	UN
temps	Nc	TEMPS
de	S	DE
marquer	Vvn	MARQUER
son	Ds	SON
courroux	Nc	COURROUX
,	Fw	,
Et	Vvc	Et
veut	Vvc	VOULOIR
que	Cs	QUE
nos	Ds	NOTRE
efforts	Nc	EFFORT
désarmant	Ga	DÉSARMER
sa	Ds	SON
justice	Nc	JUSTICE
,	Fw	,
Le	Vvc	Le
forcent	Vvc	FORCER
quelquefois	Rg	QUELQUEFOIS
à	S	À
nous	Pp	NOUS
être	Vun	ÊTRE
propice	Ag	PROPICE
.	Fs	.
Ah	I	AH
Dione	Ag	Dione
!	Fs	!
Les	Da	LE
Dieux	Nc	DIEU|DIEUX
,	Fw	,
quand	Cs	QUAND
ils	Pp	ILS
font	Vvc	FAIRE
outragés	Ge	OUTRAGER
,	Fw	,
Ne	Vvc	Ne
s'	Pp	SE
apaisent	Vvc	APAISER
jamais	Rg	JAMAIS
qu'	Cs	QUE
après	S	APRÈS
s'	Pp	SE
être	Vun	ÊTRE
vengés	Ge	VENGER
:	Fw	:
On	Pp	ON
irrite	Vvc	IRRITER
aisément	Rg	AISÉMENT
leurs	Ds	LEUR
