Arrêtons	Vvc	Arrêtons
un	Dn	UN
moment	Nc	MOMENT
.	Fs	.
La	Da	LE
pompe	Nc	POMPE
de	S	DE
ces	Dd	CE
lieux	Nc	LIEU|LIEUX
,	Fw	,
Je	Vvc	Je
le	Pp	IL
vois	Vvc	ALLER|VOIR
bien	Rg	BIEN
,	Fw	,
Arsace	Vvc	Arsace
,	Fw	,
est	Vuc	ÊTRE
nouvelle	Ag	NOUVEAU
à	S	À
tes	Ds	TON
yeux	Nc	OEIL|YEUX
.	Fs	.
Souvent	Rg	SOUVENT
ce	Dd	CE
cabinet	Nc	CABINET
superbe	Ag	SUPERBE
et	Cc	ET
solitaire	Ag	SOLITAIRE
,	Fw	,
Des	Vvc	Des
secrets	Ag	SECRET
de	S	DE
Titus	Nc	Titus
est	Vuc	ÊTRE
le	Da	LE
dépositaire	Nc	DÉPOSITAIRE
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
ici	Rg	ICI
quelquefois	Rg	QUELQUEFOIS
qu'	Cs	QUE
il	Pp	IL
se	Pp	IL
cache	Vvc	CACHER
à	S	À
sa	Ds	SON
cour	Nc	COUR
,	Fw	,
Lorsqu'	Vvc	Lorsqu'
il	Pp	IL
vient	Vvc	VENIR
à	S	À
la	Da	LE
reine	Nc	REINE|ROI
expliquer	Vvn	EXPLIQUER
son	Ds	SON
amour	Nc	AMOUR
.	Fs	.
De	S	DE
son	Ds	SON
appartement	Nc	APPARTEMENT
cette	Dd	CE
porte	Nc	PORTE|PORTÉ
est	Vuc	ÊTRE
prochaine	Ag	PROCHAIN
,	Fw	,
Et	Vvc	Et
cette	Dd	CE
autre	Ag	AUTRE
conduit	Nc	CONDUIT
dans	S	DANS
celui	Pd	CELUI
de	S	DE
la	Da	LE
reine	Nc	REINE|ROI
.	Fs	.
Va	Vvc	ALLER
chez	S	CHEZ
elle	Pp	IL
.	Fs	.
Dis	Vvc	DIRE
-lui	Nc	-lui
qu'	Rg	QUE
importun	Ag	IMPORTUN
à	S	À
regret	Nc	REGRET
,	Fw	,
J'	Vvc	J'
ose	Vvc	OSER
lui	Pp	IL
demander	Vvn	DEMANDER
un	Dn	UN
entretien	Nc	ENTRETIEN
secret	Ag	SECRET
.	Fs	.
Vous	Pp	VOUS
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
importun	Ag	IMPORTUN
?	Fs	?
Vous	Pp	VOUS
cet	Dd	CE
ami	Nc	AMI
fidèle	Ag	FIDÈLE
,	Fw	,
Qu'	Vvc	Qu'
un	Dn	UN
soin	Nc	SOIN
si	Rg	SI
généreux	Ag	GÉNÉREUX
intéresse	Vvc	INTÉRESSER
pour	S	POUR
elle	Pp	IL
?	Fs	?
Vous	Pp	VOUS
,	Fw	,
cet	Dd	CE
Antiochus	Nc	Antiochus
,	Fw	,
son	Ds	SON
amant	Nc	AMANT
autrefois	Rg	AUTREFOIS
;	Fw	;
Vous	Nc	Vous
,	Fw	,
que	Cs	QUE
l'	Pp	IL
Orient	Vvc	Orient
compte	Nc	COMPTE
entre	S	ENTRE
ses	Ds	SON
plus	Rg	PLUS
grands	Ag	GRAND
rois	Nc	ROI
:	Fw	:
Quoi	Pt	QUE|QUOI
!	Fs	!
Déjà	Vvc	Déjà
de	S	DE
Titus	Nc	Titus
épouse	Vvc	ÉPOUSER
en	S	EN
espérance	Nc	ESPÉRANCE
,	Fw	,
Ce	Vvc	Ce
rang	Nc	RANG
entre	S	ENTRE
elle	Pp	IL
et	Cc	ET
vous	Pp	VOUS
met-il	Vvc	met-il
tant	Rg	TANT
de	S	DE
distance	Nc	DISTANCE
?	Fs	?
Va	Vvc	ALLER
,	Fw	,
dis	Vvc	DIRE
-je	Nc	-je
,	Fw	,
et	Cc	ET
sans	S	SANS
vouloir	Vvn	VOULOIR
te	Pp	TU
charger	Vvn	CHARGER
d'	Dn	UN
autres	Ag	AUTRE
soins	Nc	SOIN
,	Fw	,
Vois	Vvc	ALLER|VOIR
si	Cs	SI
je	Pp	JE
puis	Vvc	POUVOIR
