	docprops1	docprops2	origzeta	scaledlogzeta	logzeta	divzeta	relfreqs1	relfreqs2	ratiorelfreqs	subtractfreqs	logrrf	scaledlogrrf
case	0.69	0.14705882352941177	0.5429411764705881	0.15284008500693158	1.54053017268857	4.691999999748943	0.09900000000000006	0.008455882352941181	11.707826074293353	0.09054411764705889	2.3585331669265788	3114901168.461685
anything	0.64	0.1323529411764706	0.5076470588235295	0.15543889090920907	1.570030150469357	4.835555555265758	0.055500000000000035	0.007352941176470592	7.547999991094722	0.048147058823529446	1.9116269246073512	2925979110.2052507
fact	0.51	0.08088235294117647	0.42911764705882355	0.1784366616283827	1.8310860933655555	6.305454544798598	0.04750000000000002	0.004044117647058825	11.74545451888397	0.0434558823529412	2.2633410559536045	3074660312.926839
crime	0.45	0.03676470588235294	0.4132352941176471	0.23561098835206803	2.480092379868933	12.23999999694272	0.03550000000000002	0.0018382352941176473	19.31199990038273	0.03366176470588237	2.5541297768596674	3197586328.4289627
police	0.39	0.0	0.39	0.5429411764705881	5.968707559985366	39000000001.0	0.03600000000000002	0.0	3600000001.000002	0.03600000000000002	3.610917912644225	3644325646.0927944
paper	0.48	0.09558823529411764	0.38441176470588234	0.158555713737588	1.6054103241496038	5.021538461117747	0.04750000000000002	0.00698529411764706	6.799999991696844	0.04051470588235296	1.8039621831856096	2880465661.018491
idea	0.42	0.04411764705882353	0.37588235294117645	0.21387499958146602	2.2333593763713413	9.5199999980688	0.032500000000000015	0.0022058823529411764	14.733333271075564	0.03029411764705884	2.346558081218039	3109838903.4368916
night	0.88	0.5073529411764706	0.37264705882352944	0.06556872372390338	0.5498816535005171	1.7344927536087116	0.12000000000000008	0.042279411764705906	2.838260869130429	0.07772058823529418	1.0281135025393748	2552488748.2714844
detective	0.36	0.0	0.36	0.5359085732092373	5.8888779583328805	36000000001.0	0.03650000000000002	0.0	3650000001.0000024	0.03650000000000002	3.6243409329763656	3650000001.000003
room	0.73	0.375	0.355	0.0756946184917619	0.6648243163598839	1.946666666641422	0.10450000000000005	0.04448529411764709	2.349090908787642	0.06001470588235296	0.841321885407158	2473525750.147911
murder	0.37	0.04411764705882353	0.32588235294117646	0.2027370578331486	2.106928605296395	8.386666664992354	0.032000000000000015	0.0022058823529411764	14.506666605436452	0.02979411764705884	2.331520203853499	3103481895.0210476
mystery	0.33	0.007352941176470588	0.32264705882352945	0.3412734312458342	3.679504661832018	44.8799999403232	0.022000000000000013	0.0003676470588235294	59.83999839955208	0.021632352941176484	2.822402427952001	3310994056.0884724
fellow	0.58	0.25735294117647056	0.3226470588235294	0.08852125944565163	0.8104241177187609	2.25371428566557	0.04850000000000003	0.015073529411764713	3.217560974138594	0.033426470588235314	1.124798886574213	2593360859.747
question	0.54	0.22794117647058823	0.31205882352941183	0.09288461924562598	0.859954179596802	2.3690322580044554	0.04050000000000003	0.013602941176470595	2.977297295843717	0.026897058823529434	1.0444704683675874	2559403379.0339894
nothing	0.8	0.5	0.30000000000000004	0.05846589046707644	0.4692548459834945	1.5999999999880001	0.09350000000000006	0.03823529411764709	2.445384615006591	0.055264705882352966	0.8790231326402895	2489463315.014213
anyone	0.32	0.029411764705882353	0.29058823529411765	0.22473292596996072	2.356611592677803	10.8799999966408	0.022000000000000013	0.0014705882352941176	14.95999990507201	0.020529411764705893	2.2310379417019983	3061004717.514173
business	0.47	0.18382352941176472	0.28617647058823525	0.09953602038509535	0.9354566192570672	2.55679999991531	0.04050000000000002	0.0099264705882353	4.079999996897184	0.03057352941176472	1.3345050876949998	2682010610.8430643
deal	0.32	0.03676470588235294	0.2832352941176471	0.2056563170433365	2.1400661634962708	8.703999997904512	0.019500000000000007	0.002573529411764706	7.577142831585962	0.0169264705882353	1.7468711479799213	2856331391.1030016
doubt	0.47	0.19117647058823528	0.2788235294117647	0.09609919893568575	0.8964440264715636	2.45846153838525	0.043000000000000024	0.010661764705882357	4.033103445431021	0.03233823529411767	1.3278741174595199	2679207480.2834578
death	0.54	0.2647058823529412	0.27529411764705886	0.07976505379687064	0.7110292872480934	2.039999999960711	0.05800000000000003	0.019852941176470598	2.9214814805136244	0.03814705882352944	1.0400424419897534	2557531505.7458186
cab	0.27	0.0	0.27	0.5106464748957028	5.602118820879701	27000000001.000004	0.033	0.0	3300000001.0000005	0.033	3.526360524616161	3608580439.8854513
everything	0.33	0.0661764705882353	0.26382352941176473	0.1576205838304522	1.5947953292173234	4.986666666064237	0.02100000000000001	0.0051470588235294126	4.079999994016002	0.015852941176470597	1.2750687260096667	2656884893.8099017
difficulty	0.29	0.029411764705882353	0.2605882352941176	0.21608921562283306	2.258493736719279	9.859999996987598	0.02000000000000001	0.0014705882352941176	13.599999914320009	0.01852941176470589	2.1400661634962717	3022547936.305023
theory	0.26	0.0	0.26	0.5073342358223616	5.564520407322693	26000000001.000004	0.02150000000000001	0.0	2150000001.000001	0.02150000000000001	3.1135153092103747	3434057104.8990726
something	0.7	0.4411764705882353	0.2588235294117647	0.05772095619505166	0.46079882991333726	1.5866666666533689	0.06450000000000004	0.0334558823529412	1.9279120876347338	0.03104411764705884	0.642370409309517	2389422377.229092
course	0.53	0.27205882352941174	0.2579411764705883	0.07571668299630899	0.6650747784637727	1.948108108073259	0.04200000000000003	0.02022058823529413	2.077090908558239	0.0217794117647059	0.7062282620957983	2416417204.872612
sort	0.35	0.09558823529411764	0.25441176470588234	0.1307985916886071	1.2903292775097084	3.6615384612600237	0.02100000000000001	0.005147058823529414	4.079999994016	0.015852941176470597	1.2750687260096667	2656884893.8099017
